Titel,Artikel,Datum,,
Man overleden na verkeersongeluk in Almere,"Man overleden na verkeersongeluk in Almere  - Een 44-jarige man uit Biddinghuizen is overleden na een eenzijdig ongeval op de Slingerweg. De man reed in zijn bestelauto vanaf de Stichtsebrug richting Nijkerkerweg, toen hij in de linkerberm raakte en tegen een boom reed. Hij was vermoedelijk onwel geworden achter het stuur. Omdat hij bekneld zat in de bestelauto, is hij door de brandweer uit het voertuig bevrijd. Personeel van de traumahelicopter heeft het slachtoffer gestabiliseerd, waarna hij onder politiebegeleiding per GGD-ambulance is overgebracht naar het Sophia ziekenhuis in Zwolle, waar hij enige uren later overleed. 		",2003-06-30,,
Nijmegen: Nijmeegse (26) na aanrijding meegesleurd en overleden (Update),"
	  In de nacht van donderdag op vrijdag is rond 04.00 uur een 26-jarige vrouw uit Nijmegen om het leven gekomen bij een bizar verkeersongeval in Nijmegen. Dit heeft de politie vrijdag laten weten. Het slachtoffer is in Nijmegen op de kruising Weurtseweg met de Winselingseweg onder een vrachtwagen terechtgekomen. De vrouw raakte de vrachtauto aan de rechter voorzijde van de aanhanger. Over een afstand van ongeveer 700 meter werd haar lichaam meegenomen tot aan de Havenweg. De chauffeur van de vrachtauto merkte hier het lichaam op. Hulpdiensten zijn direct daarop gewaarschuwd. Als gevolg van de aanrijding kwamen lichaamsdelen van het slachtoffer op het wegdek terecht. De vrachtwagenchauffeur is door de politie meegenomen naar het bureau en als verdachte verhoord. Er is een alcoholtest afgenomen waaruit bleek dat de man geen alcohol had genuttigd. Rond de middag is de 40-jarige man uit Prinsenbeek in vrijheid gesteld; hij blijft formeel verdachte in het onderzoek naar dit dodelijk ongeval. De afdeling Verkeersongevallenanalyse heeft uitgebreid onderzoek gedaan op de route die de vrachtwagen heeft gereden. De Weurtseweg is gedurende meerdere uren afgesloten geweest. Het onderzoek naar de toedracht van het ongeval loopt door. Vandaag wordt nog gesproken met een mogelijke getuige. Omdat de toedracht van dit verkeersongeval nog niet volledig duidelijk is, verzoekt de politie mensen die mogelijk iets gezien hebben contact op te nemen via het algemeen politienummer 0900- 88 44. De afdeling Verkeersongevallenanalyse ging vanmiddag verder met verkeerstechnisch onderzoek aan de vrachtauto. Het onderzoek op de Weurtseweg en Havenweg is begin deze middag afgerond. UPDATE: Vrachtwagen dodelijk ongeluk Nijmegen stond fout geparkeerd De vrachtwagen die vorige week in de nacht van donderdag op vrijdag een 26-jarige Nijmeegse aanreed, stond vlak voor het fatale ongeval verkeerd geparkeerd. De truck met aanhanger, geladen met varkens, wachtte op de Winselingseweg totdat hij kon lossen bij slachthuis Hilckmann aan de Havenweg in Nijmegen. Volgens de Algemene Plaatselijke Verordening van Nijmegen mogen voertuigen langer dan zes meter van zes uur ’s avonds tot acht uur ’s ochtends niet in de stad parkeren. Op enkele wegen kunnen de trucks wel terecht, maar daar valt de Winselingseweg niet onder. In die straat staan echter bijna elke nacht trucks. Onder meer vrachtwagens met het slachthuis als bestemming. Een politievoorlichter laat weten dat de gemeente en het slachthuis de afspraak hebben dat vrachtwagens op de Winselingseweg wachten. Een gemeentewoordvoerder laat op zijn beurt weten dat die afspraak alleen geldt voor de Havenweg. Daar mogen vrachtwagens een half uur staan. De politie is volgens de gemeentewoordvoerder verantwoordelijk voor de handhaving. De politiewoordvoerder: „Sinds de gemeente er zoveel werk van maakt handhaven wij het parkeren vooral bij excessen en gevaarlijke situaties. Er is voor ons nooit aanleiding geweest dat op de Winselingseweg te handhaven.” Volgens getuigen brandde bovendien de straatverlichting donderdag rond middernacht niet op de kruising van de Winselingseweg en de Weurtseweg, waar het ongeluk plaatsvond. Het zou een ‘donker gat’ zijn geweest. Een woordvoerster van de gemeente Nijmegen zegt dat de verlichting vrijdagochtend is gemaakt. „Het bedrijf dat voor ons de straatverlichting herstelt, heeft het die ochtend ontdekt. Waarschijnlijk is de verlichting de nacht ervoor kapot gegaan, want we hebben er verder geen meldingen over gehad.” Omdat de toedracht van het ongeluk nog in onderzoek is, is het niet duidelijk of de defecte straatverlichting of het foutparkeren van invloed zijn geweest op het ongeluk.",2012-09-28,,
Utrecht - N230: Dodelijk ongeval op de Karl Marxdreef,"
	  Vrijdagmorgen vond op de Karl Marxdreef een aanrijding plaats waarbij een automobilist overleed aan zijn verwondingen. Rond 07.30 uur reed een man uit Utrecht met zijn auto over de Karl Marxdreef. Door nog onbekende oorzaak raakte de bestuurder de macht over zijn stuur kwijt en botste tegen een boom. Het slachtoffer werd door de brandweer uit zijn auto bevrijd en behandeld door personeel van een traumahelikopter. De man overleed uiteindelijk ter plaatse aan zijn verwondingen. De Verkeerspolitie heeft een onderzoek ingesteld naar de exacte oorzaak van de aanrijding.		",2009-09-11,,
Winsum: Man(54) verongelukt op N361 nabij Sauwerd (Video),"
	  Een 54-jarige man uit Winsum is donderdagavond rond 20:55 uur verongelukt op de provinciale N361 tussen Winsum en Sauwerd.  Hij reed met zijn bestelbus richting Sauwerd, toen hij in een bocht de macht over het stuur verloor, in de berm raakte en aan de andere kant tegen een boom botste. De man was op slag dood. Rond 22:30 werd de weg weer vrijgegeven.",2008-07-10,,
Valkenburg: Dode en gewonde bij frontale botsing,"Valkenburg: Dode en gewonde bij frontale botsing 
	  Bij een frontale botsing tussen twee personenauto's op de Strabeek in Valkenburg is maandagmiddag een 58-jarige vrouw uit die plaats om het leven gekomen. Een 37-jarige man uit Cadier en Keer raakte bij het ongeval lichtgewond. Het ongeval gebeurde rond 17.00 uur op de doorgaande weg door Broekhem. De vrouw is volgens de politie vermoedelijk vlak na een inhaalmanoeuvre frontaal tegen een tegemoetkomende auto gebotst. De automobiliste raakte bekneld in haar voertuig en overleed ter plekke aan haar verwondingen. Medische hulp mocht niet meer baten. Het andere slachtoffer liep lichte verwondingen op. Er wordt verwacht dat hij het ziekenhuis snel weer mag verlaten. De politie heeft een onderzoek ingesteld om de precieze toedracht van het ongeval te achterhalen. http://www.1limburg.nl/sites/default/files/public/styles/media-detail/public/dodelijke_aanrijding_valkenburg_2i.jpg?itok=C7E37uU0",2015-03-16,,
Elst: Auto met lijk gevonden,"
	  In een kanaal in Elst is zaterdagochtend een auto met daarin het levenloze lichaam van een 22-jarige Arnhemmer gevonden. Hoelang de auto in het water heeft gelegen en wat er precies is gebeurd, is nog onbekend, meldt de politie. Een getuige meldde rond 06.45 uur dat in de Linge bij de 1e Weteringsewal een auto lag. De wagen lag op zijn kop in het water. De hulpdiensten troffen het lichaam van de man in de wagen aan. Hij bleek al te zijn overleden.		",2012-03-03,,
Den Haag: Fietser overleden na aanrijding,"Den Haag: Fietser overleden na aanrijding 
	  Op de Ockenburghstraat in de Haagse wijk Loosduinen is donderdagavond een 69-jarige Hagenaar omgekomen bij een aanrijding. De fietser werd tijdens het oversteken van de Ockenburghstraat geschept door een auto. Hij overleed ter plaatse. Het ongeluk gebeurde rond 20.00 uur ter hoogte van Crematorium Ockenburgh.  Hoe het ongeluk heeft kunnen gebeuren, is nog niet duidelijk. Door het ongeval is de Ockenburghstraat tijdelijk afgesloten geweest voor het verkeer. De automobilist is een 22-jarige Hagenaar.		",2011-01-20,,
Fietser verdrinkt in Dokkum,"Fietser verdrinkt in Dokkum  - Zondag omstreeks 04.10 uur werd door voorbijgangers het stoffelijke overschot van een man in het water van de Dam aangetroffen. De man, een 36-jarige inwoner van Dokkum, bleek door verdrinking om het leven te zijn gekomen. De fiets van het slachtoffer werd iets verderop aangetroffen. Hoe de man in het water terecht is gekomen, is nog niet duidelijk. De politie gaat niet uit van een misdrijf. Wel vraagt de politie getuigen, die de man op de fiets eventueel aldaar in die omgeving hebben gezien.",2003-05-04,,
Biggekerke: Fietser overleden na ongeluk in Zeeland,"Biggekerke: Fietser overleden na ongeluk in Zeeland 
	  (Novum) - Een fietser is zondag bij het Zeeuwse Biggekerke door een aanrijding met een auto om het leven gekomen. Het slachtoffer overleed ter plaatse aan de verwondingen. Zijn identiteit is nog niet bekend, meldt de politie. Het ongeluk vond rond 14.00 uur plaats op de Kaasboerweg, in het buitengebied van de gemeente Veere. De oorzaak van het ongeluk is nog onbekend. 		",2007-03-11,,
Rozenburg: Buschauffeur komt om bij ongeval,"Rozenburg: Buschauffeur komt om bij ongeval 
	  Een 60-jarige buschauffeur uit Abcoude is in de nacht van donderdag op vrijdag omgekomen bij een frontale aanrijding met een vrachtwagen. De man reed met een bus van Connexxion over de parallelweg van de N201. Ter hoogte van de Mc Donalds kwam de bus met de vrachtwagen in botsing. De 60-jarige chauffeur overleed aan de verwondingen. De bestuurder van de vrachtwagen, een 49-jarige man uit Amsterdam, is met hoofdletsel en een verbrijzelde oogkas overgebracht naar een ziekenhuis. Op het moment van de aanrijding zaten er geen passagiers in de bus. De politie doet onderzoek naar de toedracht van de aanrijding. Ter plaatse was een wegversmalling door wegwerkzaamheden. 		",2008-03-20,,
Bennebroek: Fietser overleden na ongeval met vrachtwagen,"Bennebroek: Fietser overleden na ongeval met vrachtwagen 
	  Op de Bennebroekerlaan vond omstreeks 11.00 uur een ernstige aanrijding plaats. Hierbij raakte een fietser dusdanig gewond dat hij later in het ziekenhuis aan zijn verwondingen bezweek. De fietser stond op de Binnenweg stil naast een vrachtwagen, wachtend voor het rode verkeerslicht. Toen het verkeer mocht rijden, sloeg de vrachtauto rechtsaf de Bennebroekerlaan in. De fietser kwam daarbij onder de vrachtauto terecht en werd overreden. Het slachtoffer is een 76-jarige inwoner van Bennebroek. De chauffeur van de vrachtwagen werd aangehouden. Het gaat om een 49-jarige man uit Zaandam. De politie onderzoekt de precieze toedracht en maakt proces-verbaal op		",2009-01-13,,
Woudenberg: Automobilist omgekomen,"Woudenberg: Automobilist omgekomen 
	  Bij een aanrijding tussen een trein en een auto is op donderdagavond 17 januari de automobilist om het leven gekomen.  Rond 23.35 uur reed een 53-jarige machinist met een trein over het spoor, komende uit de richting van Driebergen en gaande in de richting van De Haar. Bij de spoorwegovergang aan de Laagerfseweg zag hij dat de spoorwegbomen dicht waren, maar dat daar een auto omheen ging en de spoorwegovergang op reed. De machinist kon een aanrijding niet meer voorkomen en de auto werd enkele honderden meters meegesleept.  De politie, ambulance en brandweer gingen ter plaatse. In de auto bleek een 20-jarige man uit Culemborg te zitten. Hij overleefde het ongeval niet. De politie doet onderzoek naar de oorzaak van het ongeval. 		",2013-01-17,,
Motorrijder overlijdt na aanrijding,"Motorrijder overlijdt na aanrijding  - Een 35-jarige motorrijder uit Hasselt overleed zaterdagmiddag toen hij bij Rouveen na een val werd aangereden door een personenauto. Het slachtoffer reed als achterste van drie motoren op de Hasselterweg, toen hij in een bocht naar rechts de macht over het stuur verloor. De man is van de motor geslingerd en werd op de linker weghelft geschept door een auto die uit tegenovergestelde richting kwam. ",2003-09-27,,
A2 - Sint Joost: Automobilist overlijdt na onwelwording,"
	  Een 78-jarige automobilist uit Herten is woensdagmorgen omstreeks 09:20 uur op de A2, ter hoogte van het Ei van Sint Joost, onwel geworden en vervolgens met lage snelheid tegen een stilstaande vrachtwagen gebotst. Na het ongeval werd er medische hulp verleend aan de man uit Herten. Later is hij in het ziekenhuis aan interne verwondingen overleden. De A2 in de richting van Maastricht is tijdelijk gestremd geweest.		",2008-06-26,,
Middelburg: Man overlijdt achter het stuur en rijdt tegen paal,"Middelburg: Man overlijdt achter het stuur en rijdt tegen paal 
	  In Middelburg is zondagmiddag een oudere man achter het stuur onwel geworden en overleden. Hij botste hierbij tegen een verkeersbord. Volgens de politie is het slachtoffer een man van 88 jaar oud uit Middelburg. Hij reed rond 16.30 uur in zijn personenauto de Breeweg op vanaf de Laan der Verenigde Naties. Hier raakte hij onwel, belandde naast de weg en botste tegen een verkeersbord. Het opgeroepen ambulancepersoneel kon niets meer voor de man doen. Hij overleed ter plekke. Een arts van de Vlissingse huisartsenpost (HAP) heeft vervolgens de dood formeel vastgesteld. De brandweer werd opgeroepen om de ongevalslocatie af te schermen. Vanwege het ongeluk was de Breeweg enige tijd afgesloten tussen de kruising met de Laan der Verenigde Naties en die met de Kruisweg / Laurens Stommesweg. http://www.hvzeeland.nl/pictures/7/2/2/76227.jpg http://www.hvzeeland.nl/pictures/8/2/2/76228.jpg http://www.hvzeeland.nl/pictures/2/3/2/76232.jpg http://www.hvzeeland.nl/pictures/4/3/2/76234.jpg",2016-09-25,,
Exloo: Snorfietster verongelukt in Drenthe,"Exloo: Snorfietster verongelukt in Drenthe 
	  Bij een ongeluk in Exloo is woensdagmiddag een vrouw om het leven gekomen. Haar identiteit kan nog niet worden vrijgegeven, laat de Drentse politie weten. De vrouw reed rond 15.00 uur op een snorfiets op de Valtherblokken-Noord en wilde de Valtherweg oprijden toen ze in botsing kwam met een personenauto. Die werd bestuurd door een 68-jarige man uit Exloo, die vanuit Valthe in de richting van Exloo reed. De bestuurder kon de vrouw niet meer ontwijken. Zij overleed ter plekke aan haar verwondingen.		",2009-05-06,,
Oudkarspel: Fietser overleden na val in sloot ,"Oudkarspel: Fietser overleden na val in sloot  
	  In een sloot bij de Westelijke Randweg in Oudkarspel is een lichaam gevonden. De politie vermoedt dat de persoon door een ongeluk in het water is beland en is overleden. Volgens een woordvoerder van de politie was de persoon vanavond aan het fietsen en is het slachtoffer door nog onbekende oorzaak in een sloot beland. Er is nog geprobeerd het slachtoffer te reanimeren. Er was ook een traumahelikopter naar de plek van het ongeluk toe.  De politie doet nog onderzoek naar wat er precies is gebeurd. Over de identiteit van het slachtoffer heeft de politie nog niks bekend gemaakt. NH Nieuws schreef later: Fietser die overleed na val in sloot is 61-jarige man: politie sluit misdrijf uit De fietser die gisteravond is overleden na een val in een sloot bij de Westelijke Randweg in Oudkarspel is een 61-jarige man. De politie sluit na onderzoek een misdrijf uit. De man is meer dan vermoedelijk onwel geworden en als gevolg daarvan in het water beland. Hierop is hij komen te overlijden. Er is nog geprobeerd het slachtoffer te reanimeren. Er was ook een traumahelikopter naar de plek van het ongeluk toe. ",2018-06-21,,
A4 - Den Haag: 1-jarig meisje dood door ongeval ,"
	  Het 1-jarige kind dat vrijdagmiddag zwaargewond raakte bij een ongeval op de A4 bij het Prins Clausplein is bezweken aan de opgelopen verwondingen. Een 31-jarige automobilist uit Den Haag is aangehouden en na verhoor vrijgelaten. Hij wordt gezien als de veroorzaker van het ongeluk. Dat meldt de politie. Het ongeval vond rond 15.30 uur plaats op de A4 richting Amsterdam. Een 31-jarige automobilist uit Rotterdam had de staart van een file te laat opgemerkt, omdat hij bezig was met zijn mobiele telefoon. De man reed vol op de achterste auto, waarin een moeder met twee kinderen uit Aalsmeer zat. Ook drie andere auto’s raakten betrokken bij de botsing. De brandweer moest de slachtoffers uit Aalsmeer uit de wrakken knippen, waarna ze naar een ziekenhuis werden gebracht. Het jongste kind overleed later in een ziekenhuis. Twee andere mensen uit twee andere voertuigen zijn met nekklachten naar een ziekenhuis gebracht. Vanwege het ongeval was de weg tot na de avondspits afgesloten, wat tot forse vertragingen leidde.		",2011-10-21,,
Roermond - N280: Motorrijder dodelijk verongelukt (update),"
	  Een 19-jarige motorrijder uit Roermond is zaterdagmorgen rond kwart voor 12 om het leven gekomen bij een verkeersongeval op de Maasbrug. Dit heeft de politie bekendgemaakt. De motorrijder was bezig met een inhaalmanoeuvre. Op het moment dat hij een vrachtauto inhaalde week deze uit naar links. Hierdoor raakte de motorrijder een paaltje op de middenberm en kwam vervolgens op de tegenovergestelde rijbaan. Hij raakte daar een auto en kwam ten val. De motorrijder overleed op de plek van het ongeval aan zijn verwondingen. De vrachtauto werd bestuurd door een 26-jarige man uit Heel. Een rijbaan van de Maasbrug is afgesloten voor verkeer in verband met technisch onderzoek. Het verkeer maakt gebruik van de andere rijbaan die tijdelijk voor twee richtingen gebruikt kan worden. Het onderzoek naar het dodelijk verkeersongeval, waarbij zaterdag 4 juni een 20-jarige motorrijder op de Maasbrug in Roermond om het leven kwam, is afgerond. De camerabeelden die gemaakt zijn vanaf de motor waarop het slachtoffer reed hebben daarbij een belangrijke rol gespeeld, zo meldt de politie. Uit het onderzoek is gebleken dat de motorrijder in enkele seconden tijd met hoge snelheid naast de betreffende vrachtwagen reed. Binnen datzelfde tijdsbestek week de vrachtwagen uit naar links waardoor de motorrijder probeerde te corrigeren door hard te remmen. Hierbij raakte de motor in onbalans en raakte een paaltje waardoor de motor met bestuurder op de tegenovergestelde weghelft terecht kwamen. Na de aanrijding met aanhangwagen ging de motorrijder onderuit. De officier van justitie heeft op grond van de resultaten van het onderzoek besloten dat de vrachtwagenchauffeur die in eerste instantie als verdachte werd gehoord geen verdachte meer is met betrekking tot dit ongeval. Het onderzoek is daarmee afgesloten.		",2011-06-04,,
Enschede: Dodelijke ongeval,"
	  Op vrijdag 10 oktober 2008 omstreeks 2.38 uur reed een 29-jarige man uit Enschede op zijn fiets over de Hengelosestraat in Enschede. Ter hoogte van de Saturnusstraat, bij de (fiets)oversteekplaats, stak hij de weg over. Op datzelfde moment reed over de Hengelosestraat, komende uit de richting van Hengelo een 23-jarige Oldenzaalse bestuurder van een taxi. Deze taxichauffeur zag de 29-jarige fietser te laat en kon niet op tijd stoppen. Hierdoor botste hij tegen de fietser. De 29-jarige man was op slag dood. De taxichauffeur is door de politie aangehouden en overgebracht naar het politiebureau. Daar is hij gecontroleerd op alcohol en moest hij een verklaring afleggen. De man is in verzekering gesteld. De verkeersongevallenanalist van de politie Twente heeft een onderzoek ingesteld naar de toedracht van het ongeval. Zowel de auto als de fiets zijn in beslag genomen. Beide voertuigen zijn door de botsing total loss verklaard. De Hengelosestraat is in verband met het onderzoek 2 uur afgezet geweest. Man reed 50 kilometer te hard Een veel te hard rijdende taxichauffeur heeft in Enschede een fietser doodgereden. Volgens de politie reed de man 100 kilometer per uur, op een plek waar 50 de maximumsnelheid is. De 29-jarige fietser wilde via een fietsoversteekplaats de Hengelosestraat oversteken. Hij werd geschept door de aanstormende taxi. Hij is ter plaatse aan zijn verwondingen overleden. De 23-jarige taxichauffeur is aangehouden en zit vast. 		",2008-10-10,,
Heerlen: Motorrijder overleden na ongeval,"Heerlen: Motorrijder overleden na ongeval 
	  Een 27-jarige motorrijder uit Hoensbroek is donderdagavond overleden aan de verwondingen die hij opliep door een verkeersongeval in Heerlen. Dat meldde de politie. Door nog onbekende oorzaak kwam de man rond 18.30 uur op zijn motor frontaal in botsing met een auto op het kruispunt Eindhovenstraat - Bredaweg.		",2007-10-04,,
Overdinkel - N731 : Fietser (87) overleden na verkeersongeval ,"
	  De 87-jarige fietser uit Losser die vrijdagmiddag zwaargewond raakte bij een aanrijding in Overdinkel, is aan zijn verwondingen overleden. Het slachtoffer dat, komend vanaf de Hoofdstraat, op de Beerninksweg reed, wilde de Drielandweg oversteken. Hij kreeg daarbij geen voorrang van een 61-jarige automobilist uit Overdinkel die over de Drielandenweg in de richting van de Grensweg reed. De politie onderzoekt het ongeval. http://img.rtvoost.nl/T3/209551.jpg http://img.rtvoost.nl/T3/209552.jpg		",2014-05-16,,
Raalte - N332: Automobilist overleden bij eenzijdig ongeval,"
	  Bij een eenzijdig ongeval op de N332 bij Raalte is in de nacht van vrijdag op zaterdag een automobilist omgekomen bij een eenzijdig ongeval. Het ongeluk gebeurde rond half vier vannacht. Volgens omstanders raakte de bestuurder door nog onbekende oorzaak met de auto van de weg en botste vervolgens tegen een boom. De N332 tussen Heeten en Raalte is afgesloten. De politie doet onderzoek naar de toedracht van het ongeluk.",2018-03-17,,
Giethoorn: Pool komt om bij ongeluk ,"Giethoorn: Pool komt om bij ongeluk  
	  Bij een verkeersongeluk in Giethoorn is zaterdag een 26-jarige Pool om het leven gekomen. Hij zat in een auto die in een kanaal inreed. De bestuurder, een 34-jarige Pool, is aangehouden en zit vast. Volgens de Overijsselse politie had hij gedronken. Het ongeluk gebeurde rond 06.10 uur op de Beulakerweg. De automobilist verloor naar eigen zeggen de macht over het stuur nadat hij moest uitwijken voor een dier dat de weg overstak. Nadat de auto het kanaal was ingereden, probeerden de bestuurder en een gealarmeerde politieman de tweede inzittende tevergeefs uit het voertuig te halen. Later haalden brandweerduikers hem uit het water. In het ziekenhuis werd zijn dood geconstateerd.		",2008-10-11,,
Amstelveen: Fietster (70) overleden na incident op Koningsdag,"
	  De 70-jarige vrouw uit Amstelveen die op Koningsdag ernstig gewond werd gevonden, is vandaag in het ziekenhuis overleden. Dat heeft de politie bekendgemaakt. De vrouw werd maandag rond 16:00 uur door voorbijgangers naast haar fiets gevonden op het fietspad De Uitvlugt, ter hoogte van de tramovergang tussen de stations Poortwachter en Brink. De ernstig gewonde vrouw was niet meer aanspreekbaar. Ze werd direct naar het ziekenhuis gebracht, maar overleed daar aan haar verwondingen.  Wat er precies is gebeurd, is nog onduidelijk. De politie roept getuigen van het incident op zich te melden. http://static-webregio.nl/content/images/large/13477132_635659049559906064.jpg",2015-04-27,,
A6 - Lelystad: Dodelijke slachtoffers (3) ongeval gezin uit Amsterdam,"
	  Bij een ongeluk op de A6 zijn maandag drie leden van een gezin uit Amsterdam om het leven gekomen. Volgens de politie gaat het om een 44-jarige man, een 36-jarige vrouw en hun kind van vier. De auto van de slachtoffers was in het water beland. De wagen werd ontdekt na een melding van een passerende automobilist. Wanneer de auto te water is geraakt, is nog onduidelijk. De politie is op zoek naar getuigen. Volgens de Amsterdamse acteur Mimoun Ouled Radi zijn de slachtoffers zijn oud-collega John Wijdenbosch en diens gezin. John Wijdenbosch was onder meer bekend van zijn rol als Bjorn in de film en de tv-serie Costa! en als Danny Schat in de film Monte Carlo. Ook speelde hij Roy in de tv-serie Shouf Shouf!. De politie wil niet bevestigen dat het om het gezin Wijdenbosch gaat, omdat nog niet alle familieleden op de hoogte zijn gebracht, aldus een woordvoerder. Het ongeval gebeurde tussen Lelystad en Almere, vlak na tankstation de Aalscholver. Een traumateam werd met een helikopter ingevlogen om assistentie te verlenen, maar dat mocht niet meer baten. De A6 vanaf Lelystad richting Almere was enige tijd afgesloten en er werden anti-kijkschermen geplaatst. Daardoor ontstond zeven kilometer file. Rond 11.15 uur ging er weer een rijstrook open en kwam het verkeer langzaam op gang. NU.nl schrijft: Ongeval gezin John Wijdenbosch voltrok zich al zondagavond  Het verkeersongeval bij Lelystad waarbij acteur John Wijdenbosch (44), zijn 36-jarige vrouw en kind van vier zijn verongelukt, heeft vermoedelijk al zondagavond plaatsgevonden. Dat blijkt volgens de politie uit eerste onderzoek. Een voorbijganger zag de auto maandagochtend in een sloot liggen. Hulpdiensten haalden de lichamen van de slachtoffers uit het wrak. ""Het gezin bezocht zondagavond het winkelcentrum Bataviastad. Waarschijnlijk vertrokken ze diezelfde avond weer naar Amsterdam. Op de A6 raakten ze door nog onbekende reden van de weg"", aldus de politie dinsdag. Wijdenbosch was bekend van de tv-series Fort Alpha en Shouf! Shouf! en de bioscoopfilm en tv-serie Costa!. http://www.omroepflevoland.nl/SiteFiles/temp/efec78e715fd5c082d3c42b60f7d651e-778x427.jpeg http://www.omroepflevoland.nl/SiteFiles/temp/5a9caa7db7c794b3141d9bdd40b9fb99-778x427.jpeg",2017-05-28,,
Diepenveen: Trein botst tegen vrachtwagen op spoorwegovergang,"Diepenveen: Trein botst tegen vrachtwagen op spoorwegovergang 
	  Op de spoorwegovergang in de Wetermansweg in Diepenveen is vanmiddag een trein tegen een vrachtwagen gebotst. Daarbij zijn mensen gewond geraakt. Brandweer en politie zijn op volle sterkte uitgerukt. Er is inmiddels een traumahelikopter ter plaatse. Het ongeluk gebeurde rond half vijf. Volgens de eerste berichten is de trein tegen een met auto's geladen vrachtwagen gebotst. De aanrijding vond plaats bij een bewaakte overgang. Als gevolg van de aanrijding rijden er geen treinen tussen Olst en Deventer. De reizigers kunnen niet uit de trein. Volgens de NS kan de vertraging voor reizigers oplopen tot een uur. Het spoor blijft tot in de loop van de avond afgesloten. ""Vrachtwagen met auto's wilde keren"" Volgens een getuige wilde de vrachtwagen met auto's keren. Hij stond midden op het spoor en de chauffeur stapte uit om te kijken wat hij moest doen. Op dat moment gingen de spoorbomen naar beneden. De man probeerde een boom omhoog te doen, wat niet lukte. Vervolgens ging de man terug naar zijn cabine. Daarna kwam de trein in volle vaart tegen de vrachtwagen aan. De getuige meldt dat de chauffeur uit de wagen werd geslingerd en aan de andere kant van het spoort terecht kwam. Nieuwsbank.nl schreef: Omgekomen chauffeur betreft man uit Lelystad De donderdagmiddag 20 november bij het spoorwegongeval op de overgang in de Wetermansweg omgekomen chauffeur betreft een 48-jarige man uit Lelystad.  Hij stak vanuit de richting van de Bouwhuisweg, met zijn vrachtwagencombinatie het spoor over, waarbij hij tot stilstand kwam. Daarbij werd de met auto's geladen combinatie aangereden door de trein uit Deventer. Het is nog onduidelijk waarom de vrachtwagen op de overgang stagneerde.  In de trein raakten 4 passagiers gewond. Een van hen werd voor onderzoek naar het ziekenhuis gebracht. Het treinverkeer tussen Zwolle en Deventer was geruime tijd gestagneerd.  Naar de toedracht van het ongeval is een nader onderzoek gestart.  RTV Oost schreef: Eerder stonden waarschuwingsborden bij spoorwegovergang Diepenveen Tot een paar jaar geleden stonden bij de spoorwegovergang in de Wetermansweg in Diepenveen waarschuwingsborden voor het hooggelegen wegdek van de overgang en die staan er nu niet meer. Dat meldt De Stentor. Op de spoorwegovergang gebeurde donderdag een fataal treinongeluk met een vrachtwagen. Een vrachtwagencombinatie met daarop auto's kwam vast te staan op de overgang en werd geramd door een aanstormende trein. De 48-jarige vrachtwagenchauffeur uit Lelystad kwam om het leven en vier treinpassagiers raakten gewond. Naar het ongeluk lopen twee onderzoeken van Prorail en de politie. Het onderzoek van ProRail moet binnen een week helderheid geven over de technische staat van de trein en de bewaakte spoorwegovergang in de Wetermansweg. Het politieonderzoek naar de oorzaak gaat vermoedelijk langer duren, er wordt rekening gehouden met enkele maanden.",2014-11-20,,
Winsum: Dodelijk ongeval,"
	  Woensdagmorgen heeft er een ernstige aanrijding plaats gevonden op de Froonackerdyk N 384 te Winsum.  Een vrachtwagen schepte een personenauto, aan de bestuurderskant, en nam deze een aantal meters in de snelheid mee. Ambulance, politie en brandweer Mantgum komen ter plaatse. Bij dit ernstige ongeval komt de autobestuurder om het leven. De weg is momenteel afgezet voor onderzoek door de verkeersongevallen analyse en bergingswerkzaamheden.",2007-08-22,,
Eelderwolde: Man (29) komt om het leven bij verkeersongeluk,"
	  Een 29-jarige man uit Eelde is in de nacht van vrijdag op zaterdag om het leven gekomen bij een eenzijdig verkeersongeluk op de Groningerweg in Eelderwolde. Even na 00.30 uur verloor de bestuurder door nog onbekende oorzaak de macht over het stuur en raakte van de weg. Hij botste hierbij tegen een boom en kwam uiteindelijk tegen een pilaar tot stilstand. Toen de hulpdiensten ter plaatse kwamen bleek de man al te zijn overleden. De politie doet onderzoek naar de precieze toedracht van het ongeluk. http://images0.tcdn.nl/binnenland/article22635715.ece/BINARY/q/Eelderwolde.jpg",2014-05-17,,
Borne: Automobilist (25) omgekomen bij eenzijdig ongeval,"
	  Bij een eenzijdig ongeval bij Borne, is in de nacht van donderdag op vrijdag een 25-jarige automobilist uit Enschede om het leven gekomen.Dit meldt de politie vrijdag. Rond 04.00 uur reed de 25-jarige Enschedeër in zijn auto over de Hosbekkeweg in de richting van de A35. Door nog onbekende oorzaak verloor hij in de bocht, voorbij het Politie Trainingscentrum, de macht over het stuur en belandde uiteindelijk met zijn auto op de kop in de berm. ""Hij overleed ter plekke aan zijn verwondingen"", aldus de politie. De afdeling Verkeersongevallenanalyse van de politie onderzoekt de precieze toedracht.",2013-05-10,,
