Titel,Artikel,Datum,Confirmed_slachtoffers,Involved_vehicles
Aangereden jongetje(3) stak plots over,"Door: Manfred Berrevoets
VLISSINGEN - Het driejarige jongetje dat gisteren werd aangereden in Vlissingen stak vermoedelijk zonder te kijken, tussen auto’s door, de straat over  Dat heeft de politie vandaag bekend gemaakt 

Het ongeval vond rond 17 30 uur plaats in de Duijvendrechtstraat  Een 37-jarige Vlissinger, die met zijn auto door de straat reed, kon een aanrijding niet meer voorkomen  Direct zijn hulpdiensten gewaarschuwd door omstanders  Ook werd een traumahelikopter gewaarschuwd, maar die werd afgemeld toen bleek dat het jongetje door de ambulance naar het ziekenhuis vervoerd kon worden  Daar moest hij een nachtje blijven ter observatie  Over zijn toestand is niets bekend 

Agenten hebben ter plaatse onderzoek gedaan  Van de bestuurder van de auto is een blaastest afgenomen  De man bleek niet te hebben gedronken  Ook werd een speekseltest van hem afgenomen  Uit die test bleek dat de man sporen van THC in zijn speeksel had zitten 

Op het politiebureau is bloed van de man afgenomen door een arts  Dit wordt opgestuurd naar het NFI  Dat instituut gaat onderzoeken in hoeverre de man (nog) onder invloed was van THC  Hij heeft een verklaring afgelegd op het politiebureau en kreeg een rijverbod van 24 uur  Door de agenten wordt proces-verbaal opgemaakt",2019/04/09,0,[5]
Gewonde bij botsing op Deltaweg,"Door: Manfred Berrevoets
WILHELMINADORP - Bij een botsing op de Deltaweg ter hoogte van Wilhelminadorp is dinsdagmiddag één persoon gewond geraakt 

Rond 17 25 uur botste een bestuurder van een bestelauto achterop een personenauto  Het ongeval vond plaats op de rijbaan in de richting van Wilhelminadorp  De personenauto kwam door de klap in de naastgelegen sloot tot stilstand  Een toegesnelde ambulance heeft één persoon met onbekend letsel naar het ziekenhuis gebracht 

De politie heeft de situatie vastgelegd op foto waarna een bergingsbedrijf beide voertuigen heeft weggesleept  Doordat er één rijstrook was afgesloten ontstond er een file in beide richtingen",2019/04/09,0,"[5, 8]"
Man (66) op scootmobiel overleden aan verwondingen na ongeluk met pizzabezorger,"EINDHOVEN - De 66-jarige bestuurder van een scootmobiel die afgelopen weekend ernstig gewond raakte bij een ongeluk op de Limburglaan in Eindhoven is maandag in het ziekenhuis overleden  Dat maakt de politie bekend op Twitter 
De man kwam op de kruising met de Hastelweg in botsing met een pizzabezorger op een scooter  Hij was er slecht aan toe  De scooterrijder (25) bleef ongedeerd",2019/04/06,1,"[14, 3]"
Scooterrijdster gewond bij botsing met auto in Hoofddorp,"HOOFDDORP
Een scooterrijdster is maandagochtend in botsing gekomen met een auto op de Johan Enschedelaan in Hoofddorp  Daarbij raakte de vrouw gewond 

Op de kruising waar het ongeval plaatsvond werd het verkeer geregeld door een verkeersregelaar, terwijl de verkeerslichten ook gewoon werken  De Hoofdweg is afgesloten richting de Bennebroekerweg vanwege de bouw van een nieuwe brug  Dit zorgt voor een enigszins chaotische situatie 

De bestuurster van de scooter is overgebracht naar het ziekenhuis  De passagier van de scooter is door de politie bij zijn school afgezet 

De scooter is door stagiars van de politie naar het bureau gebracht",2019/04/08,0,"[3, 5, 3]"
Vrouw met scootmobiel belandt in sloot in Denekamp,"Een vrouw met een scootmobiel is maandagochtend in een sloot beland in Denekamp  De vrouw op leeftijd is met onbekende verwondingen overgebracht naar het ziekenhuis 
Het ongeval vond plaats aan de Nordhornsestraat en onduidelijk is nog hoe het heeft kunnen gebeuren  Omstanders verleenden eerste hulp totdat de hulpdiensten kwamen 

De opgeroepen brandweer en enkele medewerkers van een naastgelegen bedrijf hebben de scootmobiel, met behulp van een heftruck, uit de sloot gehaald",2019/04/08,0,[14]
Scooterrijder naar ziekenhuis na aanrijding met auto in Almelo,"In Almelo is vanochtend een scooterrijder gewond geraakt na een aanrijding met een auto  Het ongeluk gebeurde op de kruising van Wittem en Ootmarsumsetraat  De scooterrijder moest mee naar het ziekenhuis 
De scooter is in de buurt gestald  De automobilist kwam met de schrik vrij",2019/04/08,0,"[5, 3]"
"Auto vliegt over de kop op A1 bij Bornerbroek, automobilist raakt gewond","Bij een ongeluk op de A1 is vannacht een automobilist gewond geraakt  Rond kwart over twaalf vloog een auto door een nog onbekende oorzaak bij Bornerbroek over de kop  De bestuurder van het voertuig is meegenomen naar het ziekenhuis 
Hoe het ongeluk kon gebeuren, is nog niet helemaal duidelijk  Volgens omstanders lijkt het erop dat de automobilist achter het stuur in slaap is gevallen, maar dit is niet bevestigd 

De A1 was als gevolg van het ongeluk tussen de afrit Rijssen en knooppunt Azelo enige tijd afgesloten  Nadat het slachtoffer naar het ziekenhuis was gebracht en de auto was meegenomen door een bergingsbedrijf, werd de weg weer vrijgegeven",2019/04/08,0,[5]
Fietser (14) gewond bij botsing met tram in Amsterdam,"AMSTERDAM - Een jonge fietser is rond 14 45 uur op de Antwerpenbaan geschept door een tram  Zijn fiets is hierbij onder de tram terechtgekomen  Het is niet zeker of hij ook zelf onder de tram terechtkwam 

Het slachtoffer is een veertienjarige jongen  ""Ik had mijn oortjes in en ik had niks door, maar opeens voelde ik een klap"", vertelt een jongen die op dat moment in de tram zat  ""Ik hoorde een vrouw schreeuwen: ""Het is een jongetje"" '

Omstanders vertellen dat het slachtoffer hard gilde en pijn had aan zijn arm  Ook hij zou oortjes in hebben gehad 

Zwaar letsel
De hulpdiensten waren snel ter plaatse  Ook een traumahelikopter is ingezet  De politie heeft een groot stuk van de weg en trambaan afgezet en onderzoekt hoe het ongeluk heeft kunnen gebeuren 

Het slachtoffer is met spoed naar het ziekenhuis gebracht  Het is nog niet bekend hoe heftig de verwondingen zijn 

Aangepaste route
Het openbaar vervoer rijdt een aangepaste route vanwege het ongeval  Tram 2 rijdt tot Louwesweg en bus 61 rijdt om via de Johan Huizingalaan, zo meldt het GVB op Twitter",2019/04/08,0,"[11, 2]"
Flinke schade na kop-staartbotsing in Schipluiden,"De politie sloot ter plaatse direct een rijbaan af en regelde het verkeer, door het ongeval en de afzetting ontstonden er flinke file in beide richtingen 

Een berger heeft drie voertuigen geborgen, bij de aanrijding raakte niemand gewond  De provincie heeft het wegdek deels gereinigd",2019/04/08,0,"[5, 5]"
Scooterrijder ervandoor na botsing met fietsers in Haarlem,"HAARLEM
Twee fietsers zijn maandagavond aangereden op de Korte Zijlweg in Haarlem  Rond 20:40 uur is het tweetal aangetikt door een scooterrijder 

De scooterrijder is er vandoor gegaan na het ongeluk  De man en vrouw zijn naar het ziekenhuis gebracht  De vrouw had geen letsel, maar de man liep een hoofdwond op 

De scooterrijder is niet meer aangetroffen",2019/04/08,0,"[2, 2, 3]"
Scooterrijder gewond bij kop-staartbotsing: taxichauffeur onder invloed opgepakt,"AMSTERDAM - Bij een kop-staartbotsing in Amsterdam-West is vanavond een 43-jarige scooterrijder gewond geraakt  Het slachtoffer raakte bekneld tussen een bedrijfsauto en een taxi  De taxichauffeur is aangehouden voor rijden onder invloed 

Het ongeluk gebeurde op de Spaarndammerweg, meldt AT5  Toen de bedrijfsauto voor de scooter remde, remde de scooterrijder ook  De taxichauffeur achter de scooter merkte dat te laat op en botste achterop de scooter, die daardoor klem kwam te zitten tussen de bedrijfsauto en de taxi  

Lees ook: Taxichauffeur onder invloed, zonder rijbewijs, maar met geweer aangehouden

Uit een blaastest bleek dat de taxichauffeur onder invloed was  Hij is daarom aangehouden  Het slachtoffer is naar het ziekenhuis gebracht  Over de ernst van zijn verwondingen is niets bekend, al was hij nog wel aanspreekbaar  

Lees ook: Amsterdamse scooters voortaan de rijbaan op

Sinds vandaag moeten scooters met een blauw kenteken op de rijbaan rijden  De scooter die betrokken was bij dit ongeluk, reed echter met een geel kenteken en hoorde al op de rijbaan thuis",2019/04/08,0,"[3, 8, 6]"
Drie gewonden bij frontale botsing in Bergen: weg dicht,"BERGEN - Bij een zwaar ongeluk op de N511 in Bergen zijn vanavond drie gewonden gevallen  De weg is afgesloten, en zal dat vanwege de hulpverlening, het bergingswerk en het politieonderzoek nog een deel van de avond dicht blijven 

Dat bevestigt de politie tegenover NH Nieuws  Bij het ongeluk waren twee auto's betrokken  Beide voertuigen zijn door de klap over de kop geslagen en ondersteboven tot stilstand gekomen  Volgens weginspecteur Albert zijn de auto's frontaal gebotst   

View image on TwitterView image on Twitter

Weginspecteur Albert
@WIS_Albert
 N511 collega Marthijn en Ruud ter plaatsen bij ernstig ongeval, VOA doet onderzoek  Traumaheli is ook ter plaatsen geweest 

7
8:35 PM - Apr 8, 2019 · Heerhugowaard, Nederland
See Weginspecteur Albert's other Tweets
Twitter Ads info and privacy
Een van slachtoffers zat na het ongeluk bekneld, en is door de brandweer uit het wrak bevrijd  Alle drie de slachtoffers zijn met onbekend letsel naar het ziekenhuis gebracht 

De weg is afgesloten tussen het Woud en de N510 naar Bergen aan Zee  Volgens Rijkswaterstaat wordt de N511 rond 22 00 uur weer vrijgegeven  Tot die tijd wordt verkeer omgeleid",2019/04/08,0,"[5, 5, 5]"
Motorrijder en fietser botsen in Aa-landen - RTV Focus Zwolle,"Zwolle – Een motorrijder en fietser zijn maandagmiddag met elkaar in botsing gekomen op de Middelweg  Door de aanrijding ter hoogte van de Waallaan kwam een vrouw met haar fiets ten val  

Na een korte behandeling is ze door de medewerkers van de ambulancedienst thuis gebracht  Een politieagent leverde haar fiets bij de voordeur af  De motorrijder kon zelfstandig de weg vervolgen 

De oorzaak van het ongeval is onbekend",2019/04/08,0,"[2, 4]"
Blikschade en verkeerschaos door aanrijding op Zwartewaterallee - RTV Focus Zwolle,"Zwolle – Een aanrijding tussen een vrachtwagen en personenauto op de Zwartewaterallee heeft maandagmiddag een verkeerschaos veroorzaakt in Zwolle  Bij de aanrijding ontstond flinke blikschade 

Beide voertuigen reden tegen kwart voor vijf vanaf de Katerdijk rechtsaf de Zwartewaterallee op  De personenauto wilde op de Holterbroekerbrug naar de linkerrijbaan en zag daarbij de vrachtwagen over het hoofd  De vrachtwagenchauffeur kon een aanrijding niet meer voorkomen 

“Ik stond op de Katerdijk al op de linkerbaan voorgesorteerd  De personenwagen stond toen rechts naast me,” vertelt de vrachtwagenchauffeur  “Op de brug kwam hij opeens naar links  Ik remde wel direct maar je bent dan al te laat  Gelukkig was ik leeg want dat scheelt nogal in de remweg en vol druk je ook nog al wat door ” De geschrokken chauffeur is vooral blij dat niemand gewond geraakt is 

Ook de bestuurder van de personenauto is flink geschrokken  Hij is net als zijn passagier en een hond ongedeerd gebleven  “Ik ben ontzettend geschrokken  Het was een enorme klap,” zegt hij terwijl hij wijst naar de met glas en brokstukken bezaaide Zwartewaterallee 

Ondertussen ontstaat er een lange file op de Blaloweg  De politie heeft de beide rijbanen vanaf de Katerdijk richting de Aa-landen afgesloten  Alle verkeer  vanaf de Blaloweg wordt de Katerdijk opgestuurd  Het verkeer komende vanaf de Katerdijk moet de Blaloweg op  Ook de lijnbussen richting Deltion worden de andere kant opgestuurd  “De vrachtwagen staat te ver naar het midden om het verkeer nog door te laten rijden,” zegt een politieman  “Beter even de rijbanen dichtgooien dan dat er dadelijk een andere auto op de vrachtwagen knalt ”",2019/04/08,0,"[12, 5]"
Jongetje (3) aangereden in Vlissingen,"Vlissingen – In de Duijvendrechtstraat in Vlissingen is maandagmiddag rond 17 30 uur een 3-jarig jongetje uit Vlissingen door de ambulance overgebracht naar het ziekenhuis nadat hij in aanraking was gekomen met een personenauto 

Vermoedelijk stak het jongetje zonder te kijken de straat over, tussen auto’s door, en kon een aanrijding niet meer voorkomen worden door een 37-jarige Vlissinger die in zijn auto door de straat reed  Direct zijn hulpdiensten gewaarschuwd door omstanders  Ook werd een traumahelikopter gewaarschuwd, maar die werd afgemeld toen bleek dat het jongetje door de ambulance naar het ziekenhuis vervoerd kon worden  Daar moest hij een nachtje blijven ter observatie  Over zijn toestand is niets bekend 

Onderzoek
Agenten hebben ter plaatse onderzoek gedaan  Van de bestuurder van de auto is een blaastest afgenomen  De man bleek niet te hebben gedronken  Ook werd een speekseltest van hem afgenomen  Uit die test bleek dat de man sporen van THC in zijn speeksel had zitten  Op het politiebureau is bloed van de man afgenomen door een arts  Dit wordt opgestuurd naar het NFI  Dat instituut gaat onderzoeken in hoeverre de man (nog) onder invloed was van THC  Hij heeft een verklaring afgelegd op het politiebureau en kreeg een rijverbod van 24 uur  Door de agenten wordt proces-verbaal opgemaakt",2019/04/09,0,"[1, 5]"
Politieauto klapt tegen boom: agent naar ziekenhuis,"ZUIDOOSTBEEMSTER - Vannacht is een politieauto tegen een boom geknald in Zuidoostbeemster 

Rond 03:00 uur vannacht ging het mis op de Purmerenderweg toen twee agenten om nog onbekende reden tegen een boom reden  De bijrijder is gewond geraakt en naar het ziekenhuis gebracht 

Op de foto's is te zien dat het een harde klap moet zijn geweest  Brokstukken liggen metersver verspreid  

De oorzaak van het ongeluk wordt door de VOA (Verkeersongevallenanalyse) onderzocht",2019/04/07,0,"[7, 7]"
Veel schade bij botsing op Spaarndamseweg in Haarlem,"HAARLEM
Bij een verkeersongeval in Haarlem-Noord hebben twee personenwagens zondagavond veel schade opgelopen  Het ongeval gebeurde rond 21 15 uur op de Spaarndamseweg 

Ter hoogte van de Schoterbrug kwamen de wagens daar hard met elkaar in botsing  Hulpdiensten kwamen ter plaatse om assistentie te verlenen 

Een van de inzittenden is door ambulancepersoneel gecontroleerd en kon ter plaatse aan zijn verwondingen worden behandeld  Het is nog onduidelijk hoe het ongeval heeft kunnen gebeuren",2019/04/07,0,"[5, 5]"
Motorrijder gewond na botsing met auto bij De Goorn,"DE GOORN
Bij een ongeluk op de N194 bij De Goorn is zondagmiddag een motorrijder gewond geraakt  De motorrijder werd geschept door een auto 

De motorrijder is, per ambulance, naar het ziekenhuis gebracht 

Dat het een harde klap moet zijn geweest is te zien aan de schade  Het achterwiel van de motorfiets is weg  Ook de auto kon niet meer verder rijden  Beide voertuigen zijn door een berger weggesleept",2019/04/07,0,"[4, 5]"
Man op racefiets gewond bij botsing met motor,"EEMNES - Een wielrenner is gewond geraakt bij een aanrijding met een motor op de Wakkerendijk in Eemnes  Hij liep verwondingen in zijn gezicht op en moest met de ambulance mee 

Het ongeluk gebeurde iets voor 11 30 uur op de kruising van de Wakkerendijk met de Eikenlaan en de Anna Louwenweg  De motorrijder sloeg linksaf de dijk op richting Baarn  De wielrenner wilde van de parallelbaan links oversteken naar het fietspad rechts  De motorrijder zegt dat hij de fietser over het hoofd zag door een strak op de kruising geparkeerde auto 

De motorrijder reed mee met de landelijke Honda Goldwing toertocht  De racefiets raakte total loss door de klap, de motor had nauwelijks schade",2019/04/07,0,"[2, 4]"
Auto belandt in sloot na frontale botsing in Oudewater,"OUDEWATER - Op de Damweg in Oudewater zijn twee auto's frontaal op elkaar gebotst  Een van de wagens kwam in het water terecht 

Twee gewonden zijn met onbekende verwondingen naar het ziekenhuis gebracht 

Het ongeluk gebeurde net na 14  De oorzaak van de aanrijding is onduidelijk",2019/04/07,0,"[5, 5]"
Automobilist gewond bij botsing op geparkeerde auto's in Utrecht,"UTRECHT - Een automobilist is vanmiddag tegen meerdere geparkeerde auto's gereden op de Goedestraat in Utrecht  Daarvoor zou hij bovendien de gevel van een huis hebben geramd 

Rond 16 00 uur verloor de bestuurder de macht over het stuur  Meerdere voertuigen liepen schade op  De automobilist is per ambulance naar het ziekenhuis vervoerd 

De brandweer kwam ter plaatse omdat een van de auto's vloeistoffen lekte  De straat werd afgezet voor onderzoek",2019/04/07,0,[5]
Traumahelikopter landt voor fietsster,"Traumahelikopter landt voor fietsster
Een fietsster is  aan het begin van de avond op de kruising van de Leusbroekerweg met het Jaagpad zwaargewond geraakt bij een aanrijding met een auto  

Redactie 07-04-19, 19:08 Laatste update: 20:59 
Er werd een traumahelikopter opgeroepen om medische assistentie te verlenen  Hoe het ongeluk kon gebeuren, is nog niet duidelijk",2019/04/07,0,"[2, 5]"
Scooterrijder gewond door eenzijdig ongeval in Zwolle-Zuid - RTV Focus Zwolle,"Zwolle – Een bestuurder van een scooter is zondagmiddag rond kwart voor vier gewond geraakt op de Forelkolk in Zwolle-Zuid 

De man reed op de Forelkolk in de richting van het winkelcentrum en ging door onbekende oorzaak hard onderuit  Hij raakte dusdanig gewond dat hij door de ambulancedienst overgebracht moest worden naar het Isala ziekenhuis",2019/04/07,0,[3]
Dode bij ongeluk op A1 is vrouw (20) uit Duitsland,"Bij het ongeluk op de A1 bij Rijssen is gisteravond een 20-jarige vrouw uit het Duitse Hamburg om het leven gekomen  De andere inzittende is een 23-jarige man uit dezelfde stad  Hij raakte gewond, het is niet bekend hoe het met hem gaat 
Het ongeval gebeurde aan het begin van de avond  Een auto raakte in de slip, botste tegen de vangrail, sloeg over de kop en eindigde ondersteboven op de linkerrijstrook van de snelweg  Als gevolg hiervan stond er een file van vier kilometer 

De politie onderzoekt de toedracht van het ongeval",2019/04/08,1,"[5, 5]"
Twee gewonden bij aanrijding in Enschede,"Twee auto's zijn vanavond in Enschede op elkaar gebotst  Bij het ongeluk raakten twee mensen gewond  De slachtoffers zijn met onbekende verwondingen naar het ziekenhuis gebracht 
Het ongeval gebeurde op de Achterhofweg  Door de aanrijding zijn beide rijstroken afgesloten voor het verkeer  

Hoe het ongeluk heeft kunnen gebeuren, is niet bekend",2019/04/07,0,"[5, 5]"
Weg dicht na ongeluk bij Harderwijk: verkeerschaos compleet na sluiting A28,"Bij een ongeval op de N302 bij Harderwijk zijn zondag twee gewonden gevallen  Bij het ongeluk waren een auto en een motor betrokken  De inzittende van de auto is door de brandweer bevrijd  
Beide slachtoffers zijn naar het ziekenhuis vervoerd  De weg is afgesloten  Vermoedelijk blijft de weg de komende tijd nog dicht vanwege onderzoek  Door het ongeluk is de chaos op de weg compleet,  vanwege de afsluiting van de A28  

Afsluiting A28
Dit weekend werd een deel van de A28 tussen Harderwijk en Strand Horst door Rijkswaterstaat afgesloten vanwege wegwerkzaamheden  Het gaat om de hele rijbaan richting Amersfoort, die vrijdagavond 21 00 uur al werd afgesloten  Dat betekent forse verkeershinder voor weggebruikers   De afsluiting duurt tot maandagochtend 06",2019/04/07,0,"[5, 4]"
"Auto slaat over de kop in Hoofddorp, vrouw gewond","HOOFDDORP
Een vrouw is in de nacht van vrijdag op zaterdag gewond geraakt bij een ongeluk op de IJweg in Hoofddorp 

Het slachtoffer verloor de macht over het stuur nadat zij een paaltje langs de weg omver reed  Ze belandde vervolgens enkele meters verder met haar auto op de kop in de sloot 

De vrouw kon met behulp van politieagenten en omstanders uit haar auto komen  Daarna is zij per ambulance met spoed overgebracht naar het ziekenhuis 

De Verkeers Ongevallen Analyse (VOA) is ter plaatse gekomen om alle sporen vast te leggen en de exacte toedracht van het ongeval te achterhalen  Door het ongeval was de IJweg vanaf de Kruisweg tijdelijk afgesloten voor het verkeer",2019/04/06,0,[5]
Fietser raakt gewond na val op Stationsplein - RTV Focus Zwolle,"Zwolle – Een fietser is vrijdagavond rond half twaalf gewond geraakt op het Stationsplein  De man kwam met zijn fiets ten val  Omstanders alarmeerden direct de hulpdiensten 

De fietser raakte gewond aan zijn hoofd door de smak tegen het wegdek  Een toevallig, in zijn werkkleding, passerende ambulancebroeder verleende eerste hulp  Zijn collega’s namen later de zorg over  De man moest voor behandeling over worden gebracht naar het Isala ziekenhuis  De oorzaak van het ongeval is onbekend",2019/04/06,0,[2]
Scootmobieler zwaargewond bij botsing met pizzabezorger op brommer in Eindhoven,"EINDHOVEN - Een man op een scootmobiel is zaterdagmiddag op de kruising van de Limburglaan en de Hastelweg in Eindhoven gebotst tegen een pizzabezorger op een brommer 

De man kwam hard ten val  Het slachtoffer is met hoofdletsel naar het ziekenhuis in Veldhoven gebracht  De pizzabezorger kwam er zonder kleerscheuren vanaf 

Hoe het ongeluk kon gebeuren, is niet bekend",2019/04/06,0,"[3, 14]"
Automobilist schept fietser in Wijhe,"Bij een ongeval in Wijhe is vanmiddag een fietser gewond geraakt  De fietser werd door een auto geschept toen hij de kruising van de Krijtenberg met de Onder de Gelder overstak 
De fietser kwam na de botsing op de voorruit van de auto terecht en is met onbekend letsel naar het ziekenhuis overgebracht  De auto is zwaar beschadigd en moet worden afgesleept door een bergingsbedrijf 

De autobestuurder zou de fietser op de kruising over het hoofd hebben gezien  De fietser kon na een behandeling van het letsel in het ziekenhuis in de loop van de dag weer naar huis",2019/04/06,0,"[2, 5]"
"Auto over de kop in Utrecht-Oost, bestuurder gewond naar ziekenhuis","UTRECHT - De bestuurder van een auto in Utrecht is na een ongeluk op z'n kop op straat terechtgekomen  De bijzondere crash was op de Emmalaan, op steenworp afstand van het Wilhelminapark 

Het is vooralsnog onduidelijk hoe het ongeluk heeft kunnen gebeuren  Voor zover bekend zijn er geen andere auto's bij betrokken 

De bestuurder is door een ambulance met spoed naar het ziekenhuis gebracht  Hoe hij of zij er precies aan toe is, is nog onduidelijk 

Het ongeluk gebeurde rond 19",2019/04/06,0,[5]
Automobilist gewond bij crash in Vianen,"VIANEN - Bij een ongeluk op de Bentz-Berg in Vianen is gisteravond een gewonde gevallen  Een auto raakte door nog onbekende oorzaak van de weg 

Het gebeurde rond 22  De auto raakte een vluchtheuvel, een paaltje, nog een paaltje, een betonblok en miste toen op een haar na een boom  De bestuurder is naar het ziekenhuis gebracht 

De capriolen trokken veel bekijks  Volgens omstanders reed de auto te hard",2019/04/07,0,[5]
"Auto knalt op Amersfoortse stadsbus, bestuurder aangehouden","AMERSFOORT - Een personenauto is gisteravond in botsing gekomen met een stadsbus in Amersfoort  Het ongeluk gebeurde om 23 10 uur op de Stadsring 

De precieze oorzaak van de botsing is niet duidelijk  Wel is de bestuurder van de auto aangehouden naar aanleiding van de alcoholcontrole 

Vooral de personenwagen had veel schade, die is opgehaald door een bergingsbedrijf  De bus is naar de garage gebracht",2019/04/07,0,"[5, 10]"
Wijkertunnel afgesloten na kettingbotsing tussen twaalf auto's,"VELSEN - Bij een kettingbotsing op de A9 in de Wijkertunnel zijn vanmiddag twaalf auto's op elkaar gebotst  Tenminste vier personen raakten daarbij gewond 

De kettingbotsing vond rond 14 45 uur plaats in de richting van Alkmaar  Meerdere ambulances kwamen ter plaatse en er werd ook een traumahelikopter opgeroepen  De politie doet onderzaak naar de oorzaak van de kettingbotsing 

Het verkeer heeft te maken met veel hinder  Door de kettingbotsing gingen beide tunnelbuizen dicht  Ook het verkeer in de richting van Amsterdam stond even stil, omdat de hulpdiensten de tunnelbuis nodig hadden om sneller bij de plek van het ongeluk te komen  Rond 15 00 uur ging de tunnel in de richting van Amsterdam weer open 

Lange file
De tunnelbuis in de richting van Alkmaar blijft voorlopig nog dicht vanwege het bergen van de auto's  Automobilisten moeten volgens Rijkswaterstaat rekening houden met een lange file op de A9  Vanaf Spaarnwoude komen bestuurders al in de file terecht  Rijkswaterstaat adviseert automobilisten om te rijden via de A22 en de Velsertunnel te nemen",2019/04/05,0,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
Fietser gewond bij aanrijding in Almelo,"Een fietser is vanochtend in Almelo gewond geraakt bij een aanrijding met een auto  Het slachtoffer is naar het ziekenhuis gebracht 
Het ongeluk gebeurde op de kruising van de Van den Broekeweg met de Plesmanweg  Bij het afslaan zag de automobilist de fietser over het hoofd, met de aanrijding tot gevolg 

De auto kon na het ongeluk verder  De fiets van de gewonde is bij een bedrijf gestald",2019/04/05,0,"[5, 2]"
Fietsster overleden na ongeluk op rotonde Valkenswaard,"VALKENSWAARD - Op de Nieuwe Waalreseweg in Valkenswaard is vrijdagochtend een fietsster overleden na een ernstig ongeluk  De vrouw werd op de rotonde aangereden door een automobilist  Ze werd nog door de hulpdiensten gereanimeerd, maar overleed ter plekke aan haar verwondingen 

Hoe het ongeluk precies heeft kunnen gebeuren, is nog niet duidelijk  De politie doet onderzoek naar de toedracht",2019/04/05,1,"[2, 5]"
Bestuurder brommobiel raakt gewond op Middelweg - RTV Focus Zwolle,"Zwolle – Een bestuurder van een brommobiel is vrijdagmiddag gewond geraakt na een aanrijding met een auto op de Middelweg in de wijk Diezerpoort 

Rond half drie botste de man met zijn brommobiel achter op een auto ter hoogte van de voorsorteerstroken bij de kruising met de Van Wevelinkhovenstraat 

De man is door de ambulancedienst ter controle overgebracht naar het Isala ziekenhuis  De brommobiel raakte flink beschadigd  De auto kon de weg zelfstandig vervolgen",2019/04/05,0,"[15, 5]"
Fietser loopt hoofdwond op bij botsing met auto in Hoofddorp,"HOOFDDORP
Een fietser is vrijdagmiddag gewond geraakt bij een botsing met een auto op de rotonde die de Burgemeester van den Willigenlaan met het Burgemeester van Stamplein verbindt 

Het slachtoffer liep onder andere een hoofdwond op door het ongeluk 

De automobilist was gestopt voor een andere fietser en reed, toen deze was gepasseerd, weer verder  Hierbij zag hij het slachtoffer over het hoofd 

De fietser belandde door de klap hard op het asfalt  handhavers van de gemeente boden het slachtoffer eerste hulp 

Het slachtoffer is later met een ambulance naar het ziekenhuis gebracht 

De fiets is door de handhavers meegenomen en wordt tijdelijk bij het gemeentehuis gestald",2019/04/05,0,"[2, 5]"
Weer auto van talud op Waterlinieweg,"UTRECHT - Op de Waterlinieweg in Utrecht is vanmorgen opnieuw een auto van het talud gereden  De bestuurder raakte gewond  Twee rijstroken werden afgesloten voor het verkeer  Dat leidde tot forse vertraging 

De bestuurder van de auto zou rond kwart voor zeven de macht over het stuur kwijt zijn geraakt  De auto schampte een boom en kwam tussen de bosjes halverwege het talud terecht  

De bestuurder werd met hulp van de brandweer uit het voertuig gehaald en met een ambulance overgebracht naar het ziekenhuis  Een stadsbus die achter het ongeluk reed stopte  Inzittenden werden gehoord als getuigen  Een berger heeft de auto meegenomen 

Omwonenden van de Waterlinieweg in Utrecht maken zich al langer zorgen over ongelukken waarbij auto's van het talud af glijden  In 2017 werd de Waterlinieweg aangepast  Daarbij werden de vangrails verwijderd tussen het stadion en Lunetten 

Buurtbewoner Sake Hogeveen besloot een blog te maken over de stand van zaken",2019/04/04,0,[5]
Man overleden na botsing tegen muur,"Een automobilist is donderdagmorgen in Tegelen om het leven gekomen  De man botste met zijn voertuig tegen een muur 

Dat meldt de politie 

Kloostermuur
Op de Ulingsheide ging het iets na 10:00 uur mis, waarbij de kloostermuur van Abdij Ulingsheide op een t-splitsing werd doorboord  Behalve politie en ambulance, kwam ook de brandweer ter plaatse, omdat het slachtoffer bekneld zat in het voertuig  Uiteindelijk mocht alle hulp niet meer baten  Er waren geen andere voertuigen bij het ongeval betrokken 

Onderzoek
De politie is bezig met onderzoek naar de toedracht van het ongeval",2019/04/04,1,[5]
Fataal ongeluk op N57 eist levens moeder en zoontje,"Een frontale aanrijding tussen een vrachtwagen en een personenauto op de N57 heeft twee mensen het leven gekost  Het gaat om de twee inzittenden van de personenauto, een vrouw van 46 en een jongetje van 7 uit Rozenburg  Ook hun hond overleefde het niet 
Het ongeval gebeurde rond 17:15 uur op de N57 richting Zeeland, net na Ouddorp  Brandweerlieden waren snel ter plaatse en begonnen direct met het reanimeren van een slachtoffer  Ook de traumahelikopter werd gealarmeerd 

Al snel werd de auto afgeschermd met een groot stuk zeil  Toen werd al duidelijk dat de toestand van de slachtoffers kritiek was 

De N57 was tot ongeveer 22:00 uur afgesloten voor onderzoek naar de oorzaak van het ongeval en is inmiddels weer vrijgegeven voor verkeer",2019/04/04,2,"[5, 12, 5]"
Man (76) komt om bij auto ongeluk in Rijkevoort,"RIJKEVOORT - Op de Laageindsedijk in Rijkevoort is donderdagavond een auto tegen een boom aan gebotst en in de sloot terecht gekomen  De bestuurder van 76 is om het leven gekomen 

De auto raakte zwaar beschadigd  Een traumahelikopter werd ook opgeroepen",2019/04/04,1,[5]
