Unnamed: 0,Titel,Artikel,Datum
109,Slachtoffer aanrijding politieauto overleden - AT5,"Slachtoffer aanrijding politieauto overleden - AT5 Slachtoffer aanrijding politieauto overleden 17 september 2016, 14.51 uur De Amsterdammer die in de nacht van dinsdag op woensdag zwaargewond raakte na een aanrijding met een politieauto is woensdagmiddag overleden. Het ongeluk gebeurde even na middernacht op de Nassaukade.  De 34-jarige Amsterdammer reed op de fiets en wilde de Nassaukade oversteken toen hij werd geschept door een politiebusje. De man vloog tegen een geparkeerde auto aan en belandde op het wegdek. De man is vervolgens met spoed naar het ziekenhuis gebracht.Ã‚Â  Gezien de deuk in de motorkap van de politiebus moet het een enorme klap zijn geweest. De voorruit had ook een flinke ster. Ook de auto waar het slachtoffer tegenaan kwam was flink beschadigd. De recherche doet nog steeds onderzoek naar het ongeval en wat er precies is gebeurd. Zo is niet bekend of de politieauto onderweg was naar een melding en of zwaailicht en sirene aanstonden.Ã‚Â  Familie van het slachtoffer heeft een   over hem op internet gezet. Inter Visual Studio/Lorenzo Derksen Inter Visual Studio/Lorenzo Derksen",?/?/????
110,Slachtoffer aanrijding Capelle overleden - RTV Rijnmond,"

						De 83-jarige man uit Rotterdam die maandagochtend zwaargewond raakte bij een ongeval in Capelle aan den IJssel, is dinsdag aan zijn verwondingen overleden. Dat meldt de politie.

					  gebeurde rond 10:45 uur op de Abram van Rijckevorselweg. Na de aanrijding slingerde de man over de auto heen en kwam met een klap terecht op het asfalt. Het slachtoffer werd met spoed overgebracht naar het ziekenhuis. Daar is hij een dag later overleden. De politie doet onderzoek naar hoe het ongeluk heeft kunnen gebeuren. De 89-jarige man die achter het stuur zat, is verhoord.Ã‚Â ",9/5/2018
111,"Auto te water in Havelte; twee vrouwen (63) uit Zwolle overleden (update) -
Drenthe
-
DVHN.nl","Een auto met twee inwoonsters van Zwolle (beiden 63) is zondagmiddag in het water van de Drentsche Hoofdvaart bij Havelte beland. Beide vrouwen zijn bij het ongeval overleden. De hulpdiensten hebben de slachtoffers met een kraan en duikers uit het water weten te halen. Vervolgens werd nog geprobeerd de slachtoffers te reanimeren. De politie vermoedt dat het ongeval niet door gladheid is ontstaan. Hoe dan wel, wordt nog onderzocht.",?/?/????
112,Slachtoffer ongeluk Jabeek overleden | 1Limburg | Nieuws en sport uit Limburg,"Slachtoffer ongeluk Jabeek overleden | 1Limburg | Nieuws en sport uit Limburg Slachtoffer ongeluk Jabeek overleden De 37-jarige automobilist uit Geleen die maandagmiddag ernstig gewond raakte bij een ongeluk in Jabeek, is in het ziekenhuis aan zijn verwondingen overleden. Volgens de lokale omroep   bezweek de man enkele uren na de aanrijding in het ziekenhuis. Het ongeluk gebeurde rond 13:30 uur op de Kneijkuilerweg in Jabeek. Door nog onbekende oorzaak raakte de auto van de weg en kwam in de rechterberm terecht. Daarna schoot het voertuig de weg over en botste aan de linkerkant tegen een boom. De bestuurder werd daarbij uit zijn auto geslingerd. De man werd per traumahelikopter naar het ziekenhuis gebracht, waar hij enkele uren later aan zijn verwondingen overleed.",?/?/????
113,Man (70) overleden bij ongeval op Stationsweg Echteld | Rivierenland | gelderlander.nl,"
									ECHTELD - Bij een eenzijdig ongeval op de Stationsweg in Echteld is zondagmiddag even na 12.00 uur een 70-jarige man uit Maurik om het leven gekomen. De Stationsweg is ruim 3 uur lang afgesloten geweest voor onderzoek naar het ongeval. De man, die alleen in de auto zat, belandde met zijn voertuig tegen een boom nadat de wielen van de auto door onbekende oorzaak in de rechterberm terecht waren gekomen. Na het ongeval vloog de auto in brand. Een omstander heeft de automobilist daarop uit het voertuig gehaald. Ter plaatse is nog geprobeerd de man te redden door het verlenen van eerste hulp, maar dat mocht niet meer baten. Het slachtoffer overleed ter plekke.  Ã¢â‚¬â€� Politie Gelderland",11/03/17
114,"Vrachtwagen gekanteld op A67 bij Venlo, chauffeur overleden | 1Limburg | Nieuws en sport uit Limburg","Vrachtwagen gekanteld op A67 bij Venlo, chauffeur overleden | 1Limburg | Nieuws en sport uit Limburg Vrachtwagen gekanteld op A67 bij Venlo, chauffeur overleden Op de A67 bij Venlo is vrijdagmiddag een vrachtwagen gekanteld. De chauffeur van de vrachtwagen is bij het ongeval om het leven gekomen. Het ongeval gebeurde rond 16:30 uur.  Een vrachtwagen kantelde door nog onbekende oorzaak ter hoogte van Venlo op de A67. De Duitse chauffeur werd daarbij uit de vrachtwagen geslingerd en overleefde het ongeluk niet. Hij overleed vrijwel onmiddelijk. De A67 richting Duitsland werd vervolgens tijdelijk afgesloten waardoor er een lange file ontstond. Later op de avond werd de weg weer gedeeltelijk vrijgegeven. De  politie ziet er op toe dat het verkeer in goede banen geleid wordt.",?/?/????
115,Dode en twee gewonden door ongeval A27 | NU - Het laatste nieuws het eerst op NU.nl,"Dode en twee gewonden door ongeval A27 VIANEN - Door een ongeval op de A27 ter hoogte van Vianen is
maandagochtend ÃƒÂ©ÃƒÂ©n persoon om het leven gekomen. Twee anderen
raakten ernstig gewond. Dat heeft de politie gemeld.  De auto met de drie inzittenden raakte door nog onbekende reden van de A27 af en kwam meters lager terecht op de Westelijke Kanaaldijk.  ",06/6/2019
116,Pagina niet gevonden - Leidsch Dagblad,"Pagina niet gevonden - Leidsch Dagblad  van leidschdagblad.nl.

                        ",?/?/????
117,Man (24) uit Teteringen overleden bij botsing tegen boom in Oud-Vossemeer - Omroep Brabant,"

						In Oud-Vossemeer in Zeeland is maandag bij een ongeval een 24-jarige man uit Teteringen om het leven gekomen. Dat meldt een politiewoordvoerder. Hij was met een auto rond het middaguur tegen een boom langs de Molendijk gereden.

					 

						Volgens de politie zat er een persoon in het voertuig. Over de oorzaak van het ongeval is nog niets bekend. Het gaat om een eenzijdig ongeval.  De hulpdiensten waren met meerdere voertuigen uitgerukt. De weg, de N656, werd afgesloten vanwege onderzoek.",27/1/2014
118,Onwel geworden automobilist A4 Leiderdorp overleden in ziekenhuis - Omroep West,"

								Onwel geworden automobilist A4 Leiderdorp overleden in ziekenhuis

							 

						De automobilist die zaterdagavond op de A4 bij Leiderdorp tegen een betonnen geluidswal botste, is in het ziekenhuis overleden. Volgens een woordvoerder van de politie werd de 69-jarige man achter het stuur onwel.

					 

						Hulpverleners hebben de bestuurder   en met spoed naar het ziekenhuis gebracht. Daar is hij later overleden. Door de aanrijding was de oprit van de A4, richting Amsterdam, zaterdagavond een tijdje afgesloten.

					",4/5/2015
119,Automobilist overlijdt na verkeersongeval | Blik op nieuws,"Automobilist overlijdt na verkeersongeval In de nacht van vrijdag op zaterdag vond er op de N292, de Frans Strouxstraat in Stramproy, net voor de Belgische grens, een eenzijdig verkeersongeval plaats. Rond 3.00 uur reed een auto tegen een boom en kwam in een greppel tot stilstand. Een 21-jarige man uit Stramproy kwam bij het ongeval om het leven. De man bestuurde de auto en hij was de enige inzittende.",03/10/2018
120,Man overleden na aanrijding op zebrapad - RTV Rijnmond,"

						De 75-jarige voetganger die maandag in Hardinxveld-Giessendam werd aangereden op de Stationsstraat is overleden aan zijn verwondingen. Dat meldt de politie.

					 De man wilde rond 17.30 uur de Stationstraat oversteken, toen hij werd aangereden door een auto. De 47-jarige vrouw die de auto bestuurde heeft de man nog gereanimeerd. In het Medisch Centrum Utrecht is de man daarna alsnog overleden. De vrouw is verhoord door de politie over het ongeluk. De oorzaak van het ongeluk is nog niet duidelijk.",4/12/2012
121,Motorrijder (43) uit Heeze overleden na botsing met truck en auto op A58 bij Hilvarenbeek - Omroep Brabant,"

						Bij een verkeersongeluk op de A58 onder Tilburg is maandagochtend een 43-jarige motorrijder uit Heeze om het leven gekomen. Dat gebeurde na een botsing met een vrachtwagen en een auto, even na acht uur. Een traumahelikopter landde op de rijbaan om hulp te verlenen. Het slachtoffer werd nog gereanimeerd door een toevallig voorbijrijdende politieagent, maar hulp mocht niet meer baten.

					 

						De A58 tussen Tilburg en Breda vanaf Tilburg Centrum-Oost was urenlang afgesloten. Het verkeer kon in de tussentijd wel over de vluchtstrook. Vanwege de afsluiting stonden er in beide richtingen lange files. Tussen Oirschot en Tilburg stond rond negen uur ruim tien kilometer file. Deze liep in hoog tempo op. De vertraging bedroeg meer dan een uur. Ook het verkeer op de N65 stond vanuit Vught bij het knooppunt De Baars vast over vier kilometer. De Verkeersinformatiedienst (VID) gaf aan dat het nog lang ging duren voordat de weg weer kon worden vrijgegeven. Verkeer werd daarom aangeraden om te rijden.  Hoe het ongeluk heeft kunnen gebeuren, moet politieonderzoek uitwijzen.",14/3/2016
122,Twee personen overleden na aanrijding | politie.nl,"Twee personen overleden na aanrijding Zeewolde - Vrijdagmiddag 28 april ontstond op de Gooiseweg een aanrijding tussen een auto en een vrachtwagen. De twee inzittenden van de auto kwamen om het leven. Rond 15.35 uur kwam de melding van de aanrijding tussen de auto en de vrachtwagen. In de auto zaten een 40-jarige vrouw uit Medemblik en een 8-jarige jongen uit Medemblik. Een traumahelikopter landde zodat een trauma-arts eerste hulp kon verlenen. Helaas mocht hulp voor de vrouw niet meer baten, zij overleed ter plekke. Het jongetje werd per ambulance overgebracht naar een ziekenhuis. Daar overleed hij in de nacht van zondag 30 april op maandag 1 mei aan zijn verwondingen. De 56-jarige vrachtwagenchauffeur werd ook naar een ziekenhuis gebracht. Specialisten van de Verkeersongevallenanalyse doen onderzoek naar de toedracht van het ongeval.",01/05/2017
123,Scooterrijdster overleden na aanrijding met vrachtwagen in Zevenaar - Omroep Gelderland,"

								Scooterrijdster overleden na aanrijding met vrachtwagen in Zevenaar

							 Foto: Jordi Deckert / Eastview Media 

						Een scooterrijdster is overleden na een ongeluk met een vrachtwagen aan de Mega in Zevenaar. De 18-jarige vrouw overleed in het ziekenhuis.

					 Op de kruising van de Mega kwam de 39-jarige vrachtwagenchauffeur vrijdagmiddag in botsing met een 18-jarige vrouw op een scooter. De vrouw werdÃ‚Â ter plaatse gereanimeerd. Zwaar gewond werd zeÃ‚Â overgebracht naar het ziekenhuis. Daar overleed zij later die avond. Omstanders zijn direct te hulp geschoten en hebben slachtofferhulp aangeboden gekregen. De VOA doet onderzoek naar de oorzaak van dit dodelijke verkeersongeval.",25/8/2018
124,Vrouw (31) overleden na aanrijding op Graafseweg in Nijmegen | Nijmegen | gelderlander.nl,"
									NIJMEGEN - Een 31-jarige vrouw uit Nijmegen is overleden na een aanrijding op de Graafseweg in Nijmegen. Dat meldt de politie op Twitter. De vrouw werd in de nacht van zaterdag op zondag op haar fiets aangereden door een taxi. De fietsster overleed zondagmiddag aan haar verwondingen. De 29-jarige taxichauffeur is aangehouden door de politie. De man uit Nijmegen is meegenomen naar het politiebureau voor verhoor en verder onderzoek. Het slachtoffer werd met spoed naar het ziekenhuis gebracht. Daar overleed de Nijmeegse zondagmiddag. De toedracht van het ongeval is onbekend. De politie roept getuigen op zich te melden.",?/?/????
125,Man (31) uit Deurne omgekomen bij ongeluk Luikerweg in Valkenswaard - Omroep Brabant,"

						Bij een ongeluk donderdagavond rond halftwaalf aan de Luikerweg in Valkenswaard is een man van 31 uit Deurne omgekomen. Dit laat de politie vrijdagochtend weten. Het slachtoffer raakte door nog onbekende oorzaak van de weg en belandde tegen een boom. De man overleed ter plekke aan zijn verwondingen.

					 

						Er was geen ander verkeer bij het ongeluk betrokken. Het slachtoffer was de enige inzittende van de auto. De politie onderzoekt nog hoe het ongeluk kon gebeuren. De Luikerweg was na het ongeluk afgesloten voor verkeer.",1/1/2016
126,"
      Motorrijder overleden na noodlottig ongeval | Nieuwsbank
    ","
      Motorrijder overleden na noodlottig ongeval | Nieuwsbank
    ",?/?/????
127,Vrouw overlijdt na verkeersongeval | Blik op nieuws,"Vrouw overlijdt na verkeersongeval Een automobiliste is zondagmiddag 5 september rond half vier overleden bij een eenzijdig ongeval op de Van Elkweg. 
    De toedracht van het ongeval is nog onbekend. De verkeersongevallen- analyse doet onderzoek naar het ongeval. 
Naar alle waarschijnlijkheid is de auto van de Van Elkweg, ter hoogte van de A15, van de weg geraakt waarna deze het talud is afgereden en tot stilstand kwam op zijn kant in de sloot.  
De hulpdiensten konden de bestuurder snel bevrijden en startten direct met de hulpverlening. De automobiliste is ter plaatse overleden. De politie is op dit moment bezig te onderzoeken wat de aanleiding is geweest van het ongeval.  ",6/9/2010
128,Fietser overleden na aanrijding met auto in Drijber [update] - RTV Drenthe,"

						Aan de Berkenweg in Drijber is vanavond een man overleden nadat hij op de fiets werd aangereden door een auto.

					 

						Er waren diverse hulpverleners en een traumahelikopter ter plaatse, maar de hulp mocht niet baten. Het ongeluk gebeurde rond 20.00 uur. De politie doet nog onderzoek naar de oorzaak.",1/8/2018
129,Motorrijder overleden na aanrijding met auto | 1Limburg | Nieuws en sport uit Limburg,"Motorrijder overleden na aanrijding met auto | 1Limburg | Nieuws en sport uit Limburg Motorrijder overleden na aanrijding met auto In Vilt is vrijdagavond een 45-jarige motorrijder overleden na een aanrijding met een auto. Een vrouw die achterop zat is gewond geraakt. Het ongeval gebeurde even voor 21:30 uur op de Rijksweg.  Door de klap is de bestuurder van de motor, afkomstig uit Valkenburg aan de Geul, overleden. De andere persoon op de motor, een jonge vrouw, is gewond geraakt en met onbekend letsel naar het ziekenhuis gebracht.  De politie onderzoekt de toedracht van het ongeluk.  Motorrijder overleden bij verkeersongeval op de rijksweg in  Limburgs nieuws in je mailbox? ",?/?/????
130,"Drama bij uitlaten hond, vrouw doodgereden - Omroep Brabant","

				Vrouw overleden na aanrijding door auto in Zundert, hond zwaargewond

			 Foto: Alexander Vingerhoeds/Obscura Foto: Alexander Vingerhoeds/Obscura 

				Woordvoerder politie over fatale aanrijding Zundert: automobiliste heeft vrouw niet gezien

			 

						Een vrouw is woensdagavond overleden nadat ze was geschept door een auto. Dit gebeurde op de Bredaseweg in Zundert.

					 

						Het slachtoffer liep met haar hond op de parallelweg toen ze werd aangereden. De vrouw overleefde de klap niet.  De automobiliste verklaarde het slachtoffer niet gezien te hebben. De vrouw is naar het politiebureau gebracht voor verhoor. Ã¢â‚¬Å“Ze is in shockÃ¢â‚¬ï¿½, aldus een politiewoordvoerder. De hond van het slachtoffer is er slecht aan toe. De dierenambulance kwam met spoed ter plekke om voor de viervoeter te zorgen. ",1/2/2017
131,112 Harderwijk - Automobilist overleden na aanrijding,"Eenheid |
                                                    Traumaheli LifeLiner 1 - MMT Ambulance...
                                                 Automobilist overleden na aanrijding HARDERWIJK -Ã‚Â In de vroege ochtend van zondag 27 oktober 2013 is een 22-jarige automobilist uit IJsselstein bij een verkeersongeval om het leven gekomen. De man reed vanuit de richting Flevoland naar de A28, toen hij door nog onbekende oorzaak tegen de geluidswand is gebotst. De man raakte zeer ernstig gewond en is later in het ziekenhuis overleden. Door de klap van de aanrijding, is het motorblok uit de auto geslingerd. Een achteropkomende automobilist is vervolgens op dit motorblok gereden. De auto liep hierdoor forse schade op, maar de inzittenden bleven ongedeerd. 
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Ã‚Â 
                         
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Ã‚Â 
                         
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Ã‚Â 
                         
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Ã‚Â 
                         
                                                                                                                                                                                                                                                                                                                                                                                                                                                                Ã‚Â 
                         
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Ã‚Â 
                        ",06/6/2019
132,Error | Telegraaf.nl,"De pagina is misschien verwijderd, de naam is gewijzigd of tijdelijk niet beschikbaar. Probeer de zoekbalk hieronder of ga naar onze
                        ",?/?/????
133,Man omgekomen bij ongeval Skieding,"Man omgekomen bij ongeval Skieding  BEGIN JS TAG - waldnet.nl_0131_301_APP_sizeless < - DO NOT MODIFY  Man omgekomen bij ongeval Skieding vr 14 december 2012  20.50 uur 

Op de Skieding (N358) bij Surhuisterveen is vrijdagavond rond 18.40 uur een 43-jarige man uit Opende om het leven gekomen. Ter hoogte van de Poelbuurt werd het slachtoffer met zijn fiets geschept door een bestelbus, bestuurd door een 53-jarige man uit Haule. Na het ongeval werden meerdere ambulances, brandweer en traumahelikopter ter plaatse gestuurd.

 

Voor het slachtoffer kwam alle hulp echter te laat. De traumahelikopter is wel overgevlogen, maar meteen teruggekeerd. De bestuurder van de bestelbus heeft na het ongeval buurtbewoners gealarmeerd omdat het slachtoffer op een afgesloten terrein lag. Er was een sleutel nodig om het hekwerk te openen. 

",?/?/????
134,Auto botst met zijkant tegen boom in Netersel: man overlijdt ter plekke - Omroep Brabant,"

						Een auto is in Netersel tegen een boom gebotst. Dit gebeurde met een grote impact, want de Twingo zit om de boom heen gevouwen en de man moest door de brandweer worden bevrijd. Het slachtoffer is een 22-jarige man uit Bladel. Hij overleefde het ongeluk niet.

					 Het eenzijdige ongeval gebeurde op De Muilen. De auto raakte in de slip en belandde tegen een boom.Ã‚Â De man moest door de brandweer uit zijn auto worden bevrijd en werd enige tijd gereanimeerd. Dat mocht helaas niet meer baten, de man overleefde het ongeval niet. De politie en meerdere ambulances waren ter plaatse. Een trauma arts arriveerde samen met het Mobiel Medisch Team, omdat een helikopter niet in de buurt kon landen.Ã‚Â ",28/11/2018
135,Motorrijdster na val op snelweg overreden en overleden | Blik op nieuws,"Motorrijdster na val op snelweg overreden en overleden Vrijdagochtend is rond 10.15 uur op de A10 ter hoogte van het Amstel Businesspark een 38-jarige motorrijdster bij een remmanoeuvre onderuit gegaan en vervolgens door een personenauto overreden. &#039;Korte tijd later is zij in een ziekenhuis overleden&#039;, meldt de politie vrijdag. 
    Op de buitenring van de A10 ging de motorrijdster op rijstrook 2 bij het remmen onderuit en gleed rijstrook 1, de meest linker rijstrook, op. Daar werd zij door een personenauto overreden. 'Dit incident was niet snelheidgerelateerd', aldus de politie.  
Andere weggebruikers hebben direct eerste hulp verleend en zijn gaan reanimeren. Behalve ambulancepersoneel is ook het mobiel medisch traumateam ter plaatse gegaan. Het slachtoffer is met spoed naar een ziekenhuis overgebracht en daar aan haar verwondingen overleden.  
De familie van het slachtoffer is in kennis gesteld van het overlijden.  ",7/9/2012
136,Motorrijder overleden na verkeersongeval Ã¢â‚¬â€œ  112 Fryslan,"Motorrijder overleden na verkeersongeval Ã¢â‚¬â€œ  112 Fryslan DRACHTEN Ã¢â‚¬â€œ Een motorrijder is donderdagmiddag om het leven gekomen na een eenzijdig verkeersongeval op de Noorderhogeweg. Rond half vijf ging de man met zijn motor door onbekende oorzaak onderuit op de Noorderhogeweg. De motorrijder botste vervolgens tegen een boom en kwam zo tot stilstand. Politie, brandweer en ambulance waren ter plaatse gekomen. Deze konden echter al niets meer voor de man doen. Hij overleed ter plaatse. De Noorderhogeweg richting WÃƒÂ¢ldwei werd wegens het ongeval en onderzoek door de verkeersongevallenanalyse (VOA) tot zes uur afgesloten. Het verkeer werd hierbij omgeleid. Voertuigen richting Drachten kon op een rijbaan langs de plek van het ongeval rijden.",?/?/????
137,Slachtoffer Westkapelle was 62 jaar oud - HVZeeland - Nieuws en achtergronden rond veiligheid en hulpverlening in de provincie Zeeland,"Slachtoffer Westkapelle was 62 jaar oud - HVZeeland - Nieuws en achtergronden rond veiligheid en hulpverlening in de provincie Zeeland Slachtoffer Westkapelle was 62 jaar oud WESTKAPELLE - De man die gisteren om het leven kwam bij een eenzijdig ongeluk in Westkapelle is een 62-jarige automobilist uit de gemeente Goes. Dat meldt de politie. Volgens de politie reed de man rond 18.45 uur samen met zijn vrouw richting Westkapelle. Hij werd onwel en verloor de macht over het stuur. Het voertuig reed in een bocht rechtdoor en belandde via een fietspad op zijn kop in een sloot. De vrouw werd door een getuige via de achterklep uit de auto gehaald. De man zat bekneld. Toen hij was bevrijd, konden de hulpverleners niets meer voor hem doen. Wij wensen de vrouw en verdere familie heel veel sterkte toe in de aankomende tijd . ",?/?/????
138,Slachtoffer aanrijding Amersfoort overleden | RTV Utrecht," - De 65-jarige man die dinsdag in Amersfoort werd aangereden, is vannacht aan zijn verwondingen overleden. De man was passagier in een auto die op de Ringweg-Kruiskamp afsloeg waar dat niet mag. Een tegenligger raakte de wagen vol in de flank. De beide bestuurders bleven ongedeerd. De auto's zijn total-loss weggesleept.",22/12/2010
139,Automobilist rijdt bromfietser (26) uit Rosmalen dood in Den Bosch en vlucht - Omroep Brabant,"Foto: Bart Meesters/Meesters Multi Media Foto: Bart Meesters/Meesters Multi Media 

						Een automobilist heeft zaterdagnacht op De Harendonkweg in Den Bosch een bromfietser doodgereden. Hij reed daarna door en is nog altijd spoorloos. De auto waarin hij zat, zou inmiddels zijn gevonden. Het slachtoffer is een 26-jarige man uit Rosmalen.

					 

						De politie kreeg rond vier uur de melding dat er een ongeluk was gebeurd op De Harendonkweg ter hoogte van de Donkse Dreef. Even later bleek dat het slachtoffer, een jongeman, ter plekke was overleden door de frontale botsing.  Dankzij een getuige vond de politie in dezelfde wijk, in de Abdijenlaan, een auto waarvan de voorruit was beschadigd. Vermoedelijk gaat het om de wagen van de automobilist, maar dit onderzoekt de politie nog. Van de automobilist ontbreekt voorlopig ieder spoor. De politie heeft dan ook geen enkel signalement van de man of vrouw, die zomaar doorreed 'zonder zich te bekommeren om het slachtoffer'. Ze vraagt getuigen zich te melden. Doorrijden na een ongeluk is strafbaar en kan, afhankelijk van de gevolgen, ",5/4/2015
140,Fietser in ziekenhuis overleden na botsing met auto in Wageningen | De Vallei | gelderlander.nl,"De fiets van de man ligt in de berm, nadat het slachtoffer is geschept door de paarse auto. Fietser in ziekenhuis overleden na botsing met auto in Wageningen 
									WAGENINGEN - Een voor de politie nog onbekende fietser is afgelopen nacht in het ziekenhuis overleden, aan de verwondingen die hij vrijdagavond rond 21.30 uur opliep bij een aanrijding op de N225, net buiten Wageningen. De man wilde de weg oversteken, maar werd tijdens het oversteken geschept door een auto. Hij werd zwaargewond overgebracht naar het ziekenhuis, maar behandeling daar mocht niet meer baten. Doktoren stelden in de loop van de nacht het overlijden van het slachtoffer vast. De identiteit van het slachtoffer is nog niet bepaald. Zo gauw zijn identiteit duidelijk is, wordt eerst zijn familie ingelicht. Daarna kan de politie de personalia van de man bekendmaken. De politie doet onderzoek naar de exacte toedracht van het ongeval.",06/09/17
141,Doorgereden auto dodelijk ongeval gefilmd | NU - Het laatste nieuws het eerst op NU.nl,"Doorgereden auto dodelijk ongeval gefilmd HASSELT - De auto met caravan die zaterdag vermoedelijk betrokken was bij een dodelijk ongeval in Hasselt, blijkt door diverse camera's langs de weg te zijn gefilmd.   Dat heeft de politie zondag laten weten. Bij het ongeval op de Werkerlaan kwam een 21-jarige motorrijder uit Wanneperveen om het leven. De automobilist reed door en had zich zondag nog niet gemeld.   Volgens de politie reed de automobilist in een witte Peugeot 405 Break. De caravan is later aangetroffen in Hasselt.   Aan de hand van de kentekenplaten concludeert de politie dat deze eigenlijk gesloopt had moeten zijn.   De auto met caravan is gefilmd door camera's langs de weg van Rijkswaterstaat en op een bedrijventerrein.    Daarop is volgens de politie onder andere te zien hoe de bestuurder na het ongeval langs een verderop gelegen weg een band wisselt. Op dat moment hing de caravan al niet meer achter de auto. Het ongeval zelf is niet gefilmd.   Vermoedelijk is de motorrijder in botsing gekomen met de auto met caravan uit tegenovergestelde richting toen deze linksaf sloeg. De man raakte zwaargewond en overleed later in het ziekenhuis in Zwolle. ",06/6/2019
142,Slachtoffer frontale aanrijding Balkbrug kwam op verkeerde weghelft terecht - RTV Drenthe,"

								Slachtoffer frontale aanrijding Balkbrug kwam op verkeerde weghelft terecht

							 

						Het slachtoffer dat gisteren om het leven kwam bij een frontale aanrijding op de N377 bij Balkbrug, is een 39-jarige man uit Dedemsvaart. Dat heeft de politie vanochtend bekend gemaakt.

					 

						Het slachtoffer was met zijn auto frontaal op een vrachtwagen gebotst. Volgens de politie was de man door nog onbekende oorzaak op de verkeerde weghelft terecht gekomen. Na de aanrijding ontstond er brand. De N377 is een aantal uren afgesloten geweest in verband met het opruimen van de schade en onderzoek door de politie.

					",11/9/2015
143,Bejaarde dood na aanrijding Enschede | Enschede | tubantia.nl,"Bejaarde dood na aanrijding Enschede 
									ENSCHEDE Ã¢â‚¬â€œ Een 85-jarige automobilist uit Enschede is in zijn woonplaats overleden nadat hij door een 26-jarige vrouw was aangereden. Hij had haar geen voorrang verleend. Het ongeluk gebeurde vrijdagavond op de Losserstraat. De 85-jarige man schoot plotseling de kruising op waardoor de vrouw hem niet meer kon ontwijken. Naast het slachtoffer zat ook een 80-jarige vrouw. Zij liep geen ernstige verwondingen op.",11/03/17
144,Vrouw (25) rijdt tegen laadklep stilstaande vrachtauto en komt om | Blik op nieuws,"Een 25-jarige vrouw is in de nacht van zaterdag op zondag om het leven gekomen. &#039;Zij reed op haar scooter tegen de laadklep van een stilstaande vrachtwagen&#039;, meldt de politie zondag. 
    De 25-jarige inwoonster van Capelle aan den IJssel reed rond 02.00 uur op het fietspad langs de Coolsingel, komend uit de richting van de Churchilllaan. Hier reed zij tegen de uitlaadklep van een stilstaande vrachtwagen aan. De vrouw viel en overleed te plekke aan haar verwondingen. 
De recherche van het district Centrum heeft een onderzoek ingesteld naar de toedracht van het ongeval. Omdat nog onduidelijk is of alle afzettingen juist waren neergezet heeft de politie twee personen aangehouden. 
Een 34-jarige inwoner van Veenendaal en een 29-jarige inwoner van Maarssen zijn overgebracht naar een politiebureau. 'Met hen wordt op dit moment gesproken', aldus de politie.  ",31/7/2011
