Titel,Artikel,Datum
"N65 urenlang in beide richtingen afgesloten na ongeluk ter hoogte van Vught: twee zwaargewonden | Den Bosch, Vught | bd.nl","N65 urenlang in beide richtingen afgesloten na ongeluk ter hoogte van Vught: twee zwaargewonden VUGHT - Bij een ongeluk op de N65/Helvoirtseweg in Vught zijn donderdagavond twee zwaargewonden gevallen. Er was een traumahelikopter opgeroepen, maar die hoefde niet te landen. De weg is in beide richtingen urenlang dicht geweest.  Getuigen melden dat een personenauto met daarin een man en een vrouw tussen twee vrachtwagens in is gekomen, mogelijk tijdens een inhaalactie.  Het ongeluk gebeurde iets na 20.00 uur. Verkeer tussen Den Bosch en Tilburg moest tot na 22.30 uur omrijden via Eindhoven. Daarna ging de weg weer open.  Twee zwaargewonden bij ongeluk op N65. De auto na het ongeluk bij Vught.",08/03/19
Drankrijder probeert na crash in Oosterwolde politie om de tuin te leiden | Oldebroek | destentor.nl,"De hulpdiensten doen onderzoek rondom de auto in Oosterwolde. Drankrijder probeert na crash in Oosterwolde politie om de tuin te leiden 
									Een beschonken bestuurder is in de nacht van woensdag op donderdag aangehouden vanwege het veroorzaken van een eenzijdig ongeval tijdens het rijden onder invloed van alcohol.  Omstreeks 23.50 uur hoorde een buurtbewoner aan de Winterdijk bij Oosterwolde (Gld) een harde klap. Toen hij ging kijken zag hij in een bocht een auto half boven een greppel hangen. De auto had twee bomen geraakt. Een inzittende was snel uit de auto en gaf aan dat de bestuurder de benen had genomen. Naast de politie en ambulance werd ook de brandweer van Oldebroek gealarmeerd. Zij hebben met een warmtebeeldcamera de omgeving afgezocht naar de mogelijke ‘bestuurder’. De man die door de buurtbewoner als eerste werd aangetroffen is ter plaatse door ambulancepersoneel behandeld aan een hoofdwondje. De politie is uiteindelijk even meegegaan naar de accommodatie waar de arbeider normaal verblijft. Daar is de politie tot de conclusie gekomen dat de man die aangetroffen was bij de auto wel de bestuurder van de auto was en dat er van een andere bestuurder geen sprake was. Omdat de man al een blaastest had afgestaan en daaruit bleek dat hij te veel had gedronken, is de bestuurder door de politie meegenomen naar het bureau voor een tweede ademanalyse test. Daar kwam een uitslag van 675 UGL uit (1,55 promille).  De flink beschadigde auto is door bergingsbedrijf Stouwdam uit de greppel getrokken.",11/16/????
"Mannen uit auto geslingerd bij ongeluk in Berkel-Enschot, tweetal raakt gewond - Omroep Brabant","
						Twee mannen zijn maandagnacht uit hun auto geslingerd bij een ongeluk ter hoogte van de afrit van de N65 bij Berkel-Enschot. Ze raakten gewond. De twee zijn volgens omstanders met spoed naar het ziekenhuis gebracht. Ze zouden op dat moment aanspreekbaar zijn geweest.
					 Hoe de mannen er precies aan toe zijn, is niet bekend. Bij het ongeluk, dat rond één uur gebeurde, waren geen andere weggebruikers betrokken. De auto van de mannen heeft vermoedelijk ter hoogte van de afrit een verkeersbord geraakt.  Hierna botste de wagen tientallen meters verderop tegen een boom. De auto begon te tollen en kwam vervolgens opnieuw tientallen meters verderop tot stilstand. Brokstukken lagen na het ongeluk verspreid over de weg. De afrit is lange tijd afgesloten geweest. Dit voor onderzoek en vanwege opruimwerkzaamheden.",5/3/2019
Auto tegen gevel winkelpand Yerseke - HVZeeland - Nieuws en achtergronden rond veiligheid en hulpverlening in de provincie Zeeland,"Auto tegen gevel winkelpand Yerseke - HVZeeland - Nieuws en achtergronden rond veiligheid en hulpverlening in de provincie Zeeland Auto tegen gevel winkelpand Yerseke YERSEKE - In Yerseke is een automobilist dinsdagavond tegen de gevel van een winkelpand gereden. Er raakte niemand gewond. De bestuurder reed op de hoek van de Vierstraat en de Oude Torenstraat tegen de pui van De Kleding Boetiek. Na de melding werden zowel de ambulancedienst, de politie als de brandweer opgeroepen maar er bleek niemand letsel opgelopen te hebben. De brandweer heeft de situatie gecontroleerd en een afzetting gecreëerd waarna een aannemingsbedrijf de gevel heeft gestut. De politie heeft de bestuurder gehoord over het ongeval. De oorzaak van het ongeluk is niet bekend. Rond 22.30 uur kon de auto worden getakeld.",?/?/????
Auto schiet in bosjes naast A58 Rilland - HVZeeland - Nieuws en achtergronden rond veiligheid en hulpverlening in de provincie Zeeland,"Auto schiet in bosjes naast A58 Rilland - HVZeeland - Nieuws en achtergronden rond veiligheid en hulpverlening in de provincie Zeeland Auto schiet in bosjes naast A58 Rilland Bergingsbedrijf Van Egeraat heeft de auto getakeld. RILLAND - Bij Rilland is dinsdag een personenauto van de A58 geraakt en in de bossages beland. Er raakte niemand gewond. Het ongeluk op de rijbaan richting Vlissingen (tussen Rilland en het Schelde-Rijnkanaal) werd rond 14.40 uur gemeld. Vermoedelijk is het ongeluk echter al uren eerder of zelfs 's nachts al gebeurd. De verkeerspolitie kwam ter plaatse en een weginspecteur van Rijkswaterstaat zette de vluchtstrook af. Bergingsbedrijf Van Egeraat heeft de auto getakeld. @Wim; alles is mogelijk! Drank, drugs en smartphones en alles is mogelijk! Snelheid wordt vaak als oorzaak genoemd maar op zo'n recht stuk weg is 200 zelfs geen probleem, maar dan wel met handen aan het stuur en ogen op de weg. laten we oppassen om een mening te geven maar dit kan toch niet met een lage snelheid gebeuren met die auto die daar terecht is gekomen",?/?/????
Fietser gewond bij botsing met motor Vlissingen - HVZeeland - Nieuws en achtergronden rond veiligheid en hulpverlening in de provincie Zeeland,"Fietser gewond bij botsing met motor Vlissingen - HVZeeland - Nieuws en achtergronden rond veiligheid en hulpverlening in de provincie Zeeland Fietser gewond bij botsing met motor Vlissingen VLISSINGEN - Een fietser is maandagmiddag gewond geraakt toen deze in Vlissingen in botsing kwam met een motorrijder. Het ongeluk gebeurde rond 14.00 uur op de kruising van de Prins Hendrikweg met de Edisonweg. De fietser is per ambulance afgevoerd naar een ziekenhuis. Hij zou hoofdletsel hebben gehad. De motorrijder bleef ongedeerd. Er werd ook een traumahelikopter opgeroepen, maar deze werd niet meer ingezet. De politie doet onderzoek naar de toedracht van het ongeluk. Een agent heeft de fiets meegenomen en bergingsbedrijf Kuzee heeft de motor opgehaald. De vervoersmiddelen zullen door een onderzoeker van de afdeling Verkeersongevallen Analyse (VOA) op een later moment worden 'ingepast' zodat kan worden bepaald waar de twee elkaar precies geraakt hebben.",?/?/????
Fietser gaat onderuit en raakt zwaargewond in Doetinchem | Doetinchem | gelderlander.nl,"Fietser gaat onderuit en raakt zwaargewond in Doetinchem DOETINCHEM - Een fietser is dinsdagmiddag zwaargewond geraakt bij een eenzijdig ongeval in Doetinchem. Hij is per traumahelikopter naar het ziekenhuis gebracht. Video van Eastview Media Het ongeluk gebeurde op de Liemersweg in Doetinchem. De man ging door onbekende oorzaak onderuit, waarna hij ernstige verwondingen opliep. De man werd aangetroffen door een voorbijganger, die de hulpdiensten alarmeerde. Columns Henny Haggeman",22/07/????
Ongeluk met doorrijder in Breda: politie zoekt automobilist na aanrijden fietser | Breda | bndestem.nl,"Ongeluk met doorrijder in Breda Ongeluk met doorrijder in Breda: politie zoekt automobilist na aanrijden fietser 
									BREDA - Een automobilist is dinsdagavond op de vlucht geslagen nadat hij op een kruising in Breda een fietser had aangereden. De politie is naarstig op zoek naar de bestuurder. Woensdagochtend had de automobilist zich nog niet gemeld bij de politie.  Het ongeluk gebeurde dinsdagavond op de kruising van de Haagweg met de Dijklaan. De fietser was aanspreekbaar, maar is voor verdere controle met de ambulance naar het ziekenhuis gebracht. Zijn fiets raakte flink beschadigd. Om wat voor een auto het gaat, is niet duidelijk.  'NAC moet met trainer Ruud Brood doorgaan in de eerste divisie' 'NAC moet met trainer Ruud Brood doorgaan in de eerste divisie'",06/03/19
"15-jarige fietser geschept op kruising in Leeuwarden -
Friesland
-
LC.nl","Een fietser is dinsdagochtend gewond geraakt bij een aanrijding in Leeuwarden. Het ongeval gebeurde op de kruising van de De Merodestraat met de Pieter Stuyvesantweg. Het slachtoffer, een jongen van 15 jaar, werd tijdens het oversteken geschept door een auto. Het slachtoffer is met onbekende verwondingen naar het ziekenhuis overgebracht.",?/?/????
"Vrachtwagen rijdt met volle snelheid in op file op A1, één persoon gewond - RTV Oost","
								Vrachtwagen rijdt met volle snelheid in op file op A1, één persoon gewond
							 
						Een vrachtwagen heeft vanmiddag een ravage veroorzaakt op de A1 tussen Apeldoorn en Deventer. In de richting van Hengelo reed de vrachtwagen met volle snelheid in op een file, waardoor een bedrijfsbus werd geraakt.
					 De bedrijfsbus werd vervolgens geplet tegen een andere vrachtwagen. De bestuurder van het busje is met lichte verwondingen naar het ziekenhuis gebracht. Door het ongeluk staat er een lange file richting Hengelo. De hoofdrijbaan is afgesloten, het verkeer wordt geadviseerd om te rijden via Zwolle over de A28 en N35.",5/3/2019
Fietsster loopt verwondingen op bij botsing met taxibus in I... - Noordhollands Dagblad,Fietsster loopt verwondingen op bij botsing met taxibus in IJmuiden Een fietsster heeft dindagmiddag verwondingen aan haar gezicht opgelopen bij een aanrijding met een taxibus voor het gemeentehuis in IJmuiden. De vrouw reed op Plein 1945 tegen de taxibus aan op het moment dat de chauffeur wilde keren. Ze is voor behandeling aan haar verwondingen naar het ziekenhuis gebracht. In de bus zaten burgemeester Frank Dales en enkele wethouders. Zij zijn door de politie als getuigen gehoord. Burgemeester Dales en wethouder Sebastian Dinjens zijn daarna nog even in de ambulance gestapt om met het slachtoffer te praten. Het taxibedrijf heeft de fiets van het slachtoffer overleg met de politie meegenomen en zal zorgen dat deze gerepareerd wordt.,05/03/2019
Veroorzakers van aanrijding in Nijmegen gaan op de vuist,"Veroorzakers van aanrijding in Nijmegen gaan op de vuist Veroorzakers van aanrijding in Nijmegen gaan op de vuist Geplaatst op 5 maart 2019 21:31 | Laatst bijgewerkt op 7 maart 2019 19:14 Maandag tegen het einde van de middag heeft er een verkeersongeval plaatsgevonden op de kruising van de Sint Annastraat met de Groenestraat. Hierna heeft de veroorzakers zeker drie anderen fors mishandeld.  Vanuit de Groenestraat was de bestuurder van een Mercedes met hoge snelheid door rood gereden en veroorzaakte hierdoor een forse aanrijding. Direct na de aanrijding vonden de inzittenden van deze Mercedes het nodig om de tegenpartij verbaal te belagen, zo meldt de politie. Toen enkele omstanders zich hiermee gingen bemoeien, om de bestuurder van de benadeelde partij te helpen, werden er rake klappen uitgedeeld. De inzittenden van de Mercedes hebben drie mensen fors mishandeld. Na de mishandelingen vonden zij het ook nog eens nodig om via het fietspad en tegen de richting in weg te rijden. 
Één van de slachtoffers liet het hier niet bij zitten en is achter hen aangegaan, waarna een korte achtervolging ontstond tussen de twee partijen. Ondertussen had hij de politie aan de lijn en gaf hij de locatie steeds door. De inzittenden zijn dankzij hem aangehouden en worden momenteel door de recherche gehoord over hun aandeel. Omdat de bestuurder het nodig vond om via het fietspad en tegen het verkeer in te rijden, is zijn rijbewijs ingevorderd. Justitie gaat bepalen wanneer hij deze weer terug krijgt, zo meldt politie Nijmegen op Facebook. Dankzij de vele getuigen en ook de filmpjes die zijn gemaakt, is het aandeel van de verdachten duidelijk. De politie wil iedereen bedanken voor hun bijdrage. ‘In het bijzonder een jongedame die, zoals ze zelf zei, ondanks haar lengte tussen de vechtende betrokkenen dook om ze uit elkaar te halen.’ Voor het laatste nieuws uit de regio volg je ons op ",?/?/????
Inschattingsfout leidt tot ongeval met drie gewonden | 1Limburg | Nieuws en sport uit Limburg,"Inschattingsfout leidt tot ongeval met drie gewonden | 1Limburg | Nieuws en sport uit Limburg Inschattingsfout leidt tot ongeval met drie gewonden In Sevenum zijn maandagochtend drie mensen gewond geraakt bij een aanrijding. Dat meldt de politie Horst op Facebook. Op de kruising Venloseweg en Zeesweg botsten twee auto's op elkaar. Daarbij raakten beide voertuigen flink beschadigd. Drie inzittenden zijn per ambulance naar het ziekenhuis gebracht. Over de ernst van hun verwondingen is niets bekend. Volgens de politie heeft een van beide bestuurders waarschijnlijk een inschattingsfout gemaakt. Het laatste nieuws in je mailbox 
        Het emailbericht is verzonden. Meer informatie over ",?/?/????
Bestuurder raakt gewond bij frontale botsing met boom in Dalfsen - RTV Oost,"
								Bestuurder raakt gewond bij frontale botsing met boom in Dalfsen
							 
				Bestuurder raakt gewond bij frontale botsing met boom in Dalfsen
			 
						Een auto is in Dalfsen frontaal op een boom gereden en de bestuurder is daarbij gewond geraakt. Het slachtoffer is met onbekende verwondingen naar het ziekenhuis gebracht.
					 Het ongeval gebeurde op de Dommelerdijk. Het is niet bekend hoe het ongeval heeft kunnen gebeuren.",4/3/2019
"Auto rijdt van IJsseldijk bij Olst, automobilist naar het ziekenhuis - RTV Oost","
								Auto rijdt van IJsseldijk bij Olst, automobilist naar het ziekenhuis
							 
						Een auto is vanochtend van de weg geraakt op de IJsseldijk bij Olst en vervolgens van de dijk gereden. Mogelijk is de auto door de stormachtige wind van de weg geblazen, maar de oorzaak van het ongeluk wordt nog onderzocht.
					 Er waren geen andere voertuigen bij het ongeluk betrokken. De automobilist is met onbekende verwondingen naar het ziekenhuis gebracht.  De auto staat onderaan de dijk. Het verkeer heeft weinig last van het ongeluk gehad, maar voor het bergen van de auto zal de weg wel korte tijd afgesloten zijn.",4/3/2019
Aanrijding tussen voetganger en scooterrijder | Groninger Gezinsbode,"Aanrijding tussen voetganger en scooterrijder | Groninger Gezinsbode Aanrijding tussen voetganger en scooterrijder 
                                             4 maart 2019 om 09:12 uur
                                                     Groningen - Bij een aanrijding tussen een scooterrijder en een voetganger is zondagavond een voetganger gewond geraakt. De aanrijding gebeurde op een zebrapad nabij winkelcentrum Selwerd aan de Eikenlaan in Groningen.  De voetganger is met onbekend letsel per ambulance naar het ziekenhuis vervoerd.   Ophalen van properties moet gelinked worden   Tip de redactie via WhatsApp! Voeg Groninger Gezinsbode toe als contact in uw telefoon, 06-1051 8892, en stuur ons uw tips, foto’s en video’s. De digitale krant van Groninger Gezinsbode  
                            Groninger Gezinsbode, dichterbij kan niet.
                    ",?/?/????
Toezichthouder met opzet aangereden door jongens op scooter | politie.nl,"
                    Wij gebruiken cookies om de website goed te laten werken en om volledig anoniem het gebruik van onze website te analyseren. Met uw toestemming plaatsen we ook cookies van derden. Door op ""Accepteren"" te klikken geeft u toestemming voor het plaatsen van deze derden cookies. Klikt u op ""Weigeren"", dan worden deze cookies niet geplaatst. Meer informatie over het gebruik van cookies op politie.nl vindt u in ons
                     [if lt IE 9]>
<div id=""browser-waarschuwing"">Deze site is gebouwd met HTML5. Gebruik een moderne browser om de site te zien zoals deze bedoeld is.</div>
<noscript>Deze site is gebouwd met HTML5. Gebruik een moderne browser of zet Javascript aan om de site te zien zoals deze bedoeld is.<br/> Internet Explorer 8 is van voor de invoering van HTML5. De ontbrekende functionaliteit wordt op deze site ingevuld met JavaScript.</noscript>
<![endif] Toezichthouder met opzet aangereden door jongens op scooter Utrecht - Aan de Baden-Powellweg in Utrecht is een toezichthouder van de gemeente aangereden door twee jongens op een scooter. De toezichthouder wilde de jongens controleren omdat zij met de scooter op een verplicht fietspad reden. In verband met het onderzoek is de politie op zoek naar getuigen. De aanrijding vond zaterdagmiddag 2 maart plaats, iets na 16.15 uur aan de Baden-Powellweg in Utrecht. Van tientallen meters afstand zag de toezichthouder de jongens op de scooter rijden over het fietspad. De toezichthouder besloot het fietspad daarop te blokkeren met zijn fiets. De jongens op de scooter probeerden eerst uit te wijken maar toen dat niet lukte reden ze op de toezichthouder in. Na de aanrijding kwamen de jongens ten val. Toch lukte het ze om er daarna vandoor te gaan. De politie is op zoek naar mensen die de aanrijding hebben zien gebeuren of die weten we de betreffende jongens zijn. Opvallend is dat de jongens reden op een scooter met een bezorgbox van Thuisbezorgd.nl Mogelijk heeft iemand gezien dat de scooter na zaterdag beschadigd is geraakt. De bestuurder van de scooter is een jongen van ongeveer 17 jaar. Hij droeg een helm met een oranje M er op. Ook droeg hij een crèmekleurige driekwart jas. Tips kunnen gemeld worden via onderstaand tipformulier of via 0800-6070. Deel het artikel op social media",04/03/2019
Automobiliste gewond na botsing met gans op A7 - NH Nieuws,"Automobiliste gewond na botsing met gans op A7 - NH Nieuws Automobiliste gewond na botsing met gans op A7 4 maart 2019, 12.04 uur 4 maart 2019, 14.31 uur MIDDENBEEMSTER - Een vrouw is vanochtend gewond geraakt toen er een gans door de voorruit van haar auto vloog. Dat gebeurde op de A7 tussen Zaandam en Hoorn, ter hoogte van de afslag Middenbeemster.  Het slachtoffer is met de ambulance naar het ziekenhuis gebracht. De vogel overleefde de klap niet en was op slag dood. Een berger heeft de auto opgehaald.",?/?/????
Flinke schade en bestelbusje op de kop na botsing in Wieringerwerf - NH Nieuws,"Flinke schade en bestelbusje op de kop na botsing in Wieringerwerf - NH Nieuws Flinke schade en bestelbusje op de kop na botsing in Wieringerwerf 4 maart 2019, 10.44 uur 4 maart 2019, 13.44 uur Visual Studio / Theo Annes WIERINGERWERF - Een bestelbusje en een personenwagen zijn vanmorgen tegen elkaar gebotst op de kruising tussen de Medemblikkerweg en het Wagenpad bij Wieringerwerf. Door de klap kwam de bestelbus ondersteboven in de berm terecht. Het is niet duidelijk of er mensen gewond zijn geraakt bij het ongeval.  Het is volgens de politie nog niet duidelijk wat de aanleiding van het ongeluk is. Op foto's is te zien dat de rode auto flink beschadigd is aan de neus.  Beide auto's moesten dan ook geborgen worden. Volgens een getuige is er niemand gewond geraakt bij het ongeval, maar de politie kan dit niet bevestigen. Wel was er een ambulance aanwezig op de locatie van het ongeluk.  Visual Studio / Theo Annes Visual Studio / Theo Annes Visual Studio / Theo Annes",?/?/????
Gewonde en veel schade bij botsing lijnbus en auto op Kanaal... - Noordhollands Dagblad,"Gewonde en veel schade bij botsing lijnbus en auto op Kanaalkade Alkmaar [video] Een bus van Connexxion en een auto zijn maandagochtend met elkaar in botsing gekomen op de Kanaalkade in Alkmaar. De bestuurster van de auto raakte daarbij gewond, de schade aan beide voertuigen was groot. De botsing gebeurde vermoedelijk toen de automobiliste wilde keren. De lijnbus kwam daarbij in botsing met de zijkant van de auto. Het gaat om lijn 160 naar Heerhugowaard. Er zaten wel mensen in de bus, maar geen van hen raakten gewond. Wel liepen zowel de bus als de auto veel schade op, de weg lag bezaaid met glas. De automobiliste is voor controle meegegaan naar het ziekenhuis. De precieze toedracht van het ongeval is niet bekend.",04/03/2019
Automobilist vertrekt na ongeval A58 Goes - HVZeeland - Nieuws en achtergronden rond veiligheid en hulpverlening in de provincie Zeeland,"Automobilist vertrekt na ongeval A58 Goes - HVZeeland - Nieuws en achtergronden rond veiligheid en hulpverlening in de provincie Zeeland Automobilist vertrekt na ongeval A58 Goes Het ongeval op de A58 bij Goes. GOES - Zondagmorgen vroeg belandde op de A58 bij Goes een auto in de sloot. De hulpdiensten troffen niemand bij het voertuig aan. De bestuurder bleek vertrokken en was vermoedelijk onder invloed van alcohol en drugs.  Rond 02.45 uur kregen de hulpdiensten een melding van een auto in de sloot. Agenten onderzochten de auto en brandweerlieden zochten onder de auto en in de sloot. Er werd niemand gevonden. Een bergingsbedrijf heeft het zwaar beschadigde voertuig weggetakeld. De politie stelde een onderzoek in naar de identiteit van de bestuurder. In een woning in Heinkenszand troffen agenten deze aan. Uit een ademtest bleek dat de 26-jarige man uit Ovezande vermoedelijk teveel alcohol had gedronken. Bij hem werd ook een speekseltest uitgevoerd. Deze testte positief op THC en Amfetamine. De man werd voor verder onderzoek naar het politiebureau gebracht. Een GGD-arts nam een bloedproef af, deze is voor onderzoek naar het Nederlands Forensisch Instituut gestuurd. De uitslagen zijn over ongeveer twee weken bekend. Het rijbewijs van de automobilist werd ingevorderd. Hij wordt later nog verhoord voor het verlaten van de plaats van het ongeval. Tegen hem wordt proces-verbaal opgemaakt. Wat nemen mensen toch een groot risico om zo iets te riskeren door te veel drank en dan als gevolg daar van met je auto in de sloot terecht is gekomen en daarna de benen te nemen naar huis, wat staat je een berg ellende te verwachten door eigen schuld. Tuig van de richel ,je zal maar aangereden worden door zo,n idioot !",?/?/????
Voetganger gewond bij verkeersongeluk Selwerd | OOG Radio en Televisie, JM Twitter Cards by Julien Maury 10.0.1   /JM Twitter Cards by Julien Maury 10.0.1   Jetpack Site Verification Tags   /all in one seo pack  Voetganger gewond bij verkeersongeluk Selwerd Bij een verkeersongeluk zondagavond op de Eikenlaan in de wijk Selwerd is een voetganger gewond geraakt. Door: Wesley Bos – groningsnieuws.nl Het ongeluk gebeurde rond 18.40 uur. Op de kruising met de Esdoornlaan reed door nog onbekende oorzaak een scooterrijder een voetganger aan. De voetganger raakte daarbij gewond. Een fietser die het zag gebeuren heeft direct eerste hulp verleend. Ambulancemedewerkers die korte tijd later ter plaatse kwamen hebben de hulpverlening van de fietser overgenomen. Het slachtoffer is daarna met onbekende verwondingen overgebracht naar het ziekenhuis. Politieagenten hebben het ongeluk op papier gezet. Zij doen verder onderzoek naar de precieze toedracht. Foto: Wesley Bos – groningsnieuws.nl Foto: Wesley Bos – groningsnieuws.nl Het e-mailadres wordt niet gepubliceerd.  Vereiste velden zijn gemarkeerd met  Stuur mij een e-mail als er vervolgreacties zijn. Stuur mij een e-mail als er nieuwe berichten zijn. Deze website gebruikt cookies. Vind je dat goed? ,3/3/2019
Automobilist ernstig gewond na ongeluk in Woudenberg | RTV Utrecht," - 
In Woudenberg is een automobilist zwaargewond geraakt. De bestuurder reed aan het einde van middag tegen een boom op de Moorsterweg. 
De hulpdiensten rukten massaal uit, ook de brandweer moest in actie komen omdat het slachtoffer bekneld zat. 
Hoe het ongeluk kon gebeuren, is nog niet duidelijk.",3/3/2019
Auto belandt op z'n kop op A27 bij Eemnes | RTV Utrecht," - 
Op de A27 bij Eemnes is vanavond een ongeluk gebeurd. Daarbij belandde een auto op z'n kop.  
Het ongeluk gebeurde in een bocht naar de A1 richting Amersfoort. In de auto zaten volgens getuigen twee mensen. Een van hen zou zijn nagekeken door ambulancepersoneel. Het is niet bekend hoe hij of zij eraan toe is.  
Hoe het ongeluk kon gebeuren en of er ook andere voertuigen bij betrokken waren is niet duidelijk.",3/3/2019
"Auto gevonden in Markermeer, bestuurder overleden - NH Nieuws","Auto gevonden in Markermeer, bestuurder overleden - NH Nieuws Auto gevonden in Markermeer, bestuurder overleden 2 maart 2019, 00.13 uur Inter Visual studio / JD Shoots  OOSTERLEEK - In Oosterleek is een auto het Markermeer ingereden. Hierbij is een man om het leven gekomen. De auto werd gevonden door bekenden van de man. Zij gingen naar hem op zoek nadat er enige tijd niets van hem was vernomen. Hulp voor de man mocht niet meer baten. Volgens de politie ging het om een eenzijdig ongeval.  Het onderzoek moet uitwijzen wat er precies is gebeurd.",?/?/????
Bestuurder raakt van de weg en rijdt zich klem tussen huis en een boom - Omroep Brabant,"
								Bestuurder raakt van de weg en rijdt zich klem tussen huis en een boom
							 
						Een automobilist is zaterdagochtend op de Oude Kerkstraat in Veldhoven van de weg geraakt en tussen een huis en een boom tot stilstand gekomen.
					 De bestuurder raakte gewond en is met de ambulance naar het ziekenhuis gebracht. Een vrouw die ook in de auto zat, kwam er zonder kleerscheuren vanaf.  Nadat de bestuurder van de weg was geraakt is reed hij eerst door een voortuin. Daarna botste hij tegen het huis. De politie onderzoekt of de bestuurder gedronken had. ",2/3/2019
"Auto op de kop in voortuin in Zwolle, bestuurder spoorloos - RTV Oost","
								Auto op de kop in voortuin in Zwolle, bestuurder spoorloos
							 
						Een ravage vanochtend in Zwolle. Een personenauto eindigt na een spoor van vernielingen op de kop in een voortuin aan de Leliestraat. De bestuurder is spoorloos.
					 Door de bijzondere route die de auto af heeft gelegd raakten drie andere voertuigen beschadigd. Ook reed de bestuurder een lantaarnpaal omver.  De automobilist is er te voet vandoor gegaan. Of de bestuurder gewond is geraakt bij het ongeluk is dan ook niet bekend. De auto is afgevoerd door een bergingsbedrijf.",2/3/2019
Auto in sloot naast A2 bij Weert: twee gewonden | 1Limburg | Nieuws en sport uit Limburg,"Auto in sloot naast A2 bij Weert: twee gewonden | 1Limburg | Nieuws en sport uit Limburg Auto in sloot naast A2 bij Weert: twee gewonden Bij een eenzijdig ongeluk op de A2 bij Weert is een auto in een sloot beland. Dat meldt nieuwssite  Het ongeluk gebeurde rond 14:40 uur tussen Grathem en Weert in noordelijke richting. De auto met vier inzittenden raakte door nog onbekende oorzaak van de weg en belandde in de sloot.  De brandweer legde een ladder over de sloot om de inzittenden naar de ambulances te brengen. Twee personen moesten vervolgens naar het ziekenhuis. Hoe erg de verwondingen zijn, is niet bekend.  De auto moest worden afgesleept door een berger.",?/?/????
Man overlijdt na ongeluk - Omroep West,"
						De 26-jarige bestuurder van een bestelbusje is zaterdag aan het eind van de middag om het leven gekomen bij een eenzijdig ongeluk. Dat gebeurde op de Tweemanspolder in Zevenhuizen.
					 Volgens de politie reed de man door nog onbekende oorzaak tegen een lantaarnpaal en enkele bomen.  
Hulpdiensten hebben nog geprobeerd de man te reanimeren, maar dat lukte niet. Het slachtoffer overleed ter plaatse aan zijn verwondingen, zegt een woordvoerder van de politie.",2/3/2019
Scooterrijder gaat onderuit en raakt zwaargewond in Eindhoven - Omroep Brabant,"
								Scooterrijder gaat onderuit en raakt zwaargewond in Eindhoven
							 
						Een scooterrijder is zaterdag aan het begin van de avond zwaargewond geraakt in Eindhoven. Dat gebeurde op de kruising van de Gildelaan en de Kruisstraat .
					 De bestuurder ging met de scooter onderuit. Hij of zij lijkt ernstig gewond te zijn geraakt. Er kwam een trauma-helikopter en het slachtoffer is met de ambulance naar het ziekenhuis gebracht. De trauma-arts is met het slachtoffer meegegaan. Ook kreeg de ambulance politie-begeleiding. ",2/3/2019
"Aanrijding fietser met auto bij oprit A73, één gewonde | 1Limburg | Nieuws en sport uit Limburg","Aanrijding fietser met auto bij oprit A73, één gewonde | 1Limburg | Nieuws en sport uit Limburg Aanrijding fietser met auto bij oprit A73, één gewonde Donderdagmiddag is één persoon gewond geraakt bij een aanrijding in Venlo.  Bij een oprit naar de A73 botsten een fietser en een auto. Het ging rond 15:55 uur mis bij de kruising van de Tegelseweg met de toerit naar de autosnelweg. Bij de aanrijding raakte één persoon gewond. Het slachtoffer is met een ambulance naar het ziekenhuis gebracht. Over de ernst van de verwondingen en de aanleiding voor het ongeluk is niets bekend. ",?/?/????
Fietsster naar ziekenhuis na botsing met auto in Balkbrug - RTV Oost,"
								Fietsster naar ziekenhuis na botsing met auto in Balkbrug
							 
						Een fietsster is vanmiddag gewond geraakt bij een botsing met een auto in Balkbrug. Het slachtoffer is naar het ziekenhuis gebracht met beenletsel.
					 Het ongeluk gebeurde op de Hoofdweg. De fietsster kwam van een boerenerf en zag een auto over het hoofd. De automobilist probeerde nog uit te wijken, maar kon een botsing niet voorkomen.  Door de uitwijkmanoeuvre belandde de auto in een sloot. De bestuurder bleef ongedeerd. ",2/3/2019
Auto ramt vangrail bij knooppunt Zaandam - Noordhollands Dagblad,"Auto ramt vangrail bij knooppunt Zaandam Een bestuurder die zaterdagmiddag van de A7 naar de A8 wilde rijden bij het knooppunt Zaandam, heeft de macht over het stuur verloren en is met de auto tegen de vangrail geknald. De persoon is met onbekend letsel naar het ziekenhuis gebracht. Het ongeval gebeurde op de weg van Purmerend naar Zaandam. Terwijl de hulpdiensten na het ongeval hun werk deden, werden twee rijstroken van de A7 afgesloten. Daar kon niet elke weggebruiker begrip voor opbrengen; zes automobilisten negeerden het rode kruis boven de weg. Zij vinden binnenkort een boete op de deurmat. Vanuit Zaandam kun je bij knp. Zaandam vanaf de   richting Amsterdam en vanuit Hoorn ( ) is op de verbindingsweg 1 rijstrook dicht.  Meer nieuws uit Zaanstreek",02/03/2019
