,Titel,Artikel,Datum
24,Vrouw (52) aangehouden na aanrijding waarbij fietser zwaargewond raakte en automobilist doorreed - Omroep Brabant,"
						Een 52-jarige vrouw uit Oudheusden is aangehouden voor betrokkenheid bij de aanrijding van een fietser in Bladel. De fietser, een 39-jarige man uit Hapert, werd zondagnacht rond één uur zwaargewond op de Hallenstraat gevonden door een beveiligingsmedewerker van een bedrijf.
					 Toen het slachtoffer werd gevonden, was hij buiten bewustzijn, zeggen omstanders. Hij werd na behandeling ter plaatse met een traumahelikopter naar het ziekenhuis gebracht. De man liep volgens de politie meerdere breuken en inwendig letsel op. Hij is geopereerd.   Na de aanrijding heeft de politie uitgebreid sporenonderzoek gedaan. Ook werden camerabeelden bekeken. Op basis hiervan werd de 52-jarige vrouw aangehouden. De vrouw is uitgebreid verhoord, maar mocht maandagochtend wel naar huis. Het is nog niet bekend of het Openbaar Ministerie de vrouw zal vervolgen.",16/7/2018
25,Gewonde bij ongeval op N250 - Den Helder Actueel," Jetpack Site Verification Tags   This site is optimized with the Yoast SEO plugin v10.1.3 - https://yoast.com/wordpress/plugins/seo/  Gewonde bij ongeval op N250 Den Helder – Bij een verkeersongeval, dinsdagmiddag omstreeks vijf uur op de N250, is een automobilist gewond geraakt. Het spitsverkeer had veel last van het incident. Een automobilist reed tegen zijn voorligger. Een automobilist is daarbij gewond geraakt. Volgens de hulpdiensten kwam dat door de airbag, die na de klap in werking trad.  Beide auto’s zijn zwaar beschadigd en moeten worden geborgen. Het spitsverkeer liep tot wel een half uur vertraging op door het ongeval op de N250. Info en foto: Inter Visual Studio / Marcel Barriel Onder 'Redactie DHA' staan berichten over DHA zelf, aangeleverde (en al dan niet bewerkte) persberichten en dergelijke. Ring alkmaar is grootste oponthoud als je naa ... Dit zal nog wel vaker voor komen Dick Berts d ... Inderdaad, slechts 5 tot 8 minuten verkorting ... We gebruiken cookies om content en advertenties te personaliseren, om functies voor social media te bieden en om ons websiteverkeer te analyseren. Ook delen we informatie over uw gebruik van onze site met onze partners voor social media, adverteren en analyse. Deze partners kunnen deze gegevens combineren met andere informatie die u aan ze heeft verstrekt of die ze hebben verzameld op basis van uw gebruik van hun services. Door op AKKOORD te klikken gaat u hiermee akkoord.",17/4/2019
26,Fietsster gewond na aanrijding in Enschede - RTV Oost,"
						Een fietsster is vanmiddag in Enschede gewond geraakt bij een aanrijding met een auto. De vrouw is naar het ziekenhuis gebracht.
					 Het ongeluk gebeurde op de Pathmossingel ter hoogte van de Zwedeweg. De vrouw kwam met haar elektrische fiets onder de voorkant van de auto terecht.  De oorzaak van het ongeluk is niet bekend. De politie onderzoekt het ongeval. Heb je een nieuwstip of nieuwe informatie? Tip de redactie via een WhatsApp-bericht: ",7/2/2019
27,Automobilist die doorreed na doodrijden fietser in Den Bosch opnieuw vast | NU - Het laatste nieuws het eerst op NU.nl," Advertorial styling   Advertorial styling  
    Hallo! Je browser is verouderd. Daarom werken bepaalde elementen van NU.nl mogelijk niet goed. Upgrade je browser via Instellingen.
     
        Wij zien dat u een adblocker gebruikt waardoor u alleen advertenties ziet die door uw adblocker worden goedgekeurd.
        Dit vinden wij jammer, want NU.nl is mede dankzij onze advertenties gratis toegankelijk. Wilt u een uitzondering maken voor NU.nl,
        of meer lezen over hoe wij met advertenties omgaan?
         Het laatste nieuws het eerst op NU.nl Automobilist die doorreed na doodrijden fietser in Den Bosch opnieuw vast De 37-jarige man die ervan verdacht wordt eerder deze maand doorgereden te zijn na een dodelijk ongeval met een zeventienjarig meisje in Den Bosch, is woensdag opnieuw opgepakt. Justitie verdenkt hem van rijden onder invloed van verdovende middelen. De man zou ook door rood zijn gereden voordat hij de tiener schepte. Hij wordt nogmaals gehoord en zal ""mogelijk later deze week worden voorgeleid"". Het meisje werd na het ongeluk in zorgwekkende toestand opgenomen in het ziekenhuis en overleed een dag later aan haar verwondingen. De man, die doorreed maar later kon worden aangehouden, was tijdens de arrestatie onder invloed van alcohol. Ook lag er een kleine hoeveelheid hennep in zijn auto. Wil jij elke ochtend direct weten wat je 's nachts gemist hebt en wat er die dag gaat gebeuren?  Dagelijkse nieuwsbrief 
                            Elke ochtend rond 6.00 uur weten wat het nieuws wordt?
                                 Je moet ingelogd zijn om van deze mogelijkheid gebruik te maken.  Voeg tekst toe aan je bijdrage.
                          toegevoegd
                             
                                            Sleep hier je bestanden heen  
                                            of  selecteer een foto/video 
                                        Laat los om te beginnen met uploaden
                                     Door te versturen ga je akkoord met ",17/4/2019
28,Fietsster gewond geraakt bij aanrijding met auto in Enschede - RTV Oost,"
								Fietsster gewond geraakt bij aanrijding met auto in Enschede
							 
						Op de kruising van het Het Stroink en de Broekheurne-Ring in Enschede is vanmiddag een fietser gewond geraakt bij een aanrijding met een auto. De vrouw is naar het ziekenhuis gebracht.
					 De politie onderzoekt nog hoe het ongeluk kon gebeuren. Op de kruising gebeurde de afgelopen maanden meerdere ongelukken.  Hoe het met de fietser gaat is nog onduidelijk.",10/10/2018
29,Maaltijdbezorger (15) overleden na zware aanrijding | Binnenland | Telegraaf.nl,"10 jan. 2019 in BINNENLAND Kopieer naar clipboard De fiets van de jongen brak door het ongeluk in tweeën. Een 15-jarige maaltijdbezorger is na een heftige aanrijding in Utrecht donderdagmorgen aan zijn verwondingen overleden. Hij werd op zijn fiets de avond ervoor vol geraakt door een Volvo-rijder. De fiets van de jongen brak door het ongeluk in tweeën. De school waar de jongen op zit, Academie Tien, heeft de leerlingen in een brief op de hoogte gesteld van het overlijden, meldt RTV Utrecht. Hij is in het ziekenhuis overleden. Er is een herdenkingsplek ingericht op de Utrechtse school. Scholieren kunnen daar hun medeleven en herinneringen delen in een boek dat aan de ouders wordt gegeven. De betrokken automobilist (21) uit Breukelen is aangehouden en uit voorzorg verhoord door de politie. Hij zou geen verdachte zijn. Door de aanrijding brak de fiets compleet in tweeën. Het ongeval gebeurde woensdagavond op de Amsterdamsestraatweg in Utrecht Zuilen. Vermoedelijk wilde de fietser tussen twee geparkeerde auto’s de weg oversteken maar zag daarbij een aankomende auto over het hoofd. Die kwam in volle vaart aanrijden en wist de jongen niet meer te ontwijken. De fietser werd geschept. Hulpdiensten kwamen massaal ter plaatse, waaronder een traumahelikopter. Hij werd per ambulance naar het ziekenhuis gebracht. Kopieer naar clipboard 10 jan. 2019 in BINNENLAND Gerelateerde artikelen",11/1/2019
30,Fietser lichtgewond na aanrijding in Hengelo - RTV Oost,"
						Bij een aanrijding met een auto is vanmiddag in Hengelo een fietser lichtgewond geraakt. Het ongeluk gebeurde op de oversteekplaats aan de Oldenzaalsestraat/Deurningerstraat.
					 De fietser kwam na de klap hard tegen de voorruit van de auto terecht. Na controle van ambulancepersoneel bleek het letsel van de fietser gelukkig mee te vallen. Het slachtoffer hoefde niet mee naar het ziekenhuis.  Op exact dezelfde plek had afgelopen week ook al een aanrijding plaats.  Heb je een nieuwstip of nieuwe informatie? Tip de redactie via een WhatsApp-bericht: ",23/2/2019
31,Automobilist schept fietser in Barneveld | Barneveldse Krant,"
    Automobilist schept fietser in Barneveld  Only functional/visible if visitor accepts 'social' cookie    Een automobilist zag maandag aan het einde van de middag een fietser over het hoofd op de Plantagelaan in Barneveld. Een botsing was het gevolg. De fietser werd door ambulancepersoneel nagekeken, maar hoefde niet mee naar het ziekenhuis.  Gerelateerde artikelen Het lokale nieuws in je mailbox? Dagelijks, wekelijks en/of bij 'breaking nieuws'? Nieuws uit andere regio’s  Go to www.addthis.com/dashboard to customize your tools ",03/12/2018
32,Fietser gewond bij aanrijding in Deventer - RTV Oost,"
						Een fietser is vanmorgen aangereden op de Boxbergerweg in Deventer. De vrouw is met onbekend letsel naar het ziekenhuis gebracht.
					 De personenauto die de fietsster aanreed wilde rechtsaf slaan en zag de vrouw daarbij over het hoofd. Heb je opmerkingen of aanvullingen op dit bericht? Stuur ons direct een WhatsApp-bericht: ",8/11/2018
33,Fietser raakt onwel en overlijdt - Omroep Gelderland,"
					Een fietser is dinsdagmiddag onwel geworden en overleden op de Knapheideweg in Groesbeek.
				 De hulpdiensten werden gealarmeerd, maar dat bleek tevergeefs. De politie had eerder gemeld dat het om een eenzijdig verkeersongeval ging. Heeft u opmerkingen of aanvullingen op dit bericht? Mail dan met de redactie:  Wij willen graag weten in welke omgeving u woont, zodat we u meer nieuws uit uw eigen regio kunnen aanbieden. Daarom willen we graag uw locatie weten als u de website van Omroep Gelderland bezoekt. De gegevens over uw woonplaats of andere data worden anoniem verzameld en nooit gedeeld met anderen.",18/9/2018
34,Doorrijder (73) ongeval Herpen opgespoord na online oproep van politie - Omroep Brabant,"
						Dankzij een tip heeft de politie maandag de bestuurder opgespoord die zondagmiddag doorreed na het scheppen van een hardloper in Herpen. Het gaat om een 73-jarige man uit Berghem. Zondag deed de politie op sociale media een oproep, wat veel tips over de zaak opleverde.
					 Iemand wees de politie er maandagochtend op dat er een man in Berghem op zoek was  , de auto die volgens getuigen betrokken was bij het ongeval. Het bleek om dezelfde auto te gaan. De 73-jarige man werd gehoord als verdachte, maar hij is niet opgepakt. Zijn verklaring is bij het dossier gevoegd, meldt de politie.",26/11/2018
35,Fietser komt om na botsing met automobilist (update) - RTV Noord,"
						Op de Hogelandsterweg in Delfzijl is woensdagmiddag een fietser om het leven gekomen na een botsing met een auto.
					 De politie doet onderzoek naar de identiteit van het slachtoffer en naar de oorzaak van de aanrijding. De automobilist kwam na de botsing tot stilstand tegen een boom. De weg was enige tijd afgesloten voor het verkeer en werd rond 16.30 uur weer vrijgegeven. Een traumahelikopter en meerdere ambulances kwamen ter plaatse om eerste hulp te verlenen. Wij willen graag weten in welke omgeving u woont, zodat we u meer nieuws uit uw eigen regio kunnen aanbieden. Daarom willen we graag uw locatie weten als u de website van RTV Noord bezoekt. De gegevens over uw woonplaats of andere data worden anoniem verzameld en nooit gedeeld met anderen.",15/8/2018
36,Traumaheli naar ernstig gewonde fietser in Soest - De Gooi- en Eemlander," AntiAdBlock service down   start: inline style from widgets   load polyfills for IE & older browsers, sadly this needs to be blocking because of video embeds using Promise  Traumaheli naar ernstig gewonde fietser in Soest Bij een botsing tussen een fietser en een automobilist in Soest is maandagmiddag één persoon gewond geraakt.  start rendering normal content  Het ongeval gebeurde rond 12.30 uur op de Smitsweg. De auto kwam uit een uitrit van een parkeerplaats en raakte de fietser. Die raakte zodanig ernstig gewond, dat een traumahelikopter is opgeroepen. Het slachtoffer is met spoed naar het UMC Utrecht vervoerd.  Load Facebook SDK for JavaScript   Your embedded comments code  Meer nieuws uit Gooi en Eemland  Keuze van de redactie __widgetgroup start renderer      __widgetgroup end renderer       __widgetgroup start renderer      Lees hier de digitale editie __widgetgroup end renderer       __widgetgroup start renderer      __widgetgroup end renderer       __widgetgroup start renderer      __widgetgroup end renderer       __widgetgroup start renderer      __widgetgroup end renderer       __widgetgroup start renderer      __widgetgroup end renderer        start: inline scripts from widgets   end: inline scripts from widgets ",31/12/2018
37,Fietser gewond na aanrijding op Industrieweg - RN7,"
    ***********************************************************************************************
    * DESIGN, REALISATIE EN HOSTING EMIXION� .CREATING IMPACT ONLINE - www.emixion.nl
    ***********************************************************************************************
      End Google Tag Manager  Fietser gewond na aanrijding op Industrieweg 
                                                                         Gepubliceerd op 05-10-2018 12:34                          | Regio Nijmegen                      NIJMEGEN – Een fietser is vrijdag aan het eind van de ochtend gewond geraakt toen hij in botsing kwam met een auto op de Industrieweg. De fietser wilde de Industrieweg oversteken en moest voorrang geven aan de automobilist, maar deed dat niet en werd geschept. Volgens omstanders was de fietser aan het bellen en zag hij daardoor de automobilist over het hoofd. Hij vloog van zijn fiets en kwam tegen een reclamebord aan. Daarbij vielen zijn schoenen uit, die kwamen een stuk verderop in de berm terecht. Een omstander heeft eerste hulp verleend tot de gewaarschuwde ambulance ter plaatse was. Die heeft de fietser vervolgens naar het ziekenhuis gebracht. Het is onduidelijk hoe het nu met de fietser gaat. {{ current_item.title }} {{ current_item.title }} {{ next_item.title }} {{ next_item.title }}",05/10/2018
38,"Automobilist maakt dollemansrit door centrum Den Bosch, vrouw uit Vlijmen zwaargewond - Omroep Brabant","{""@context"":""http://schema.org"",""@type"":""NewsArticle"",""mainEntityOfPage"":{""@type"":""WebPage"",""@id"":""https://www.omroepbrabant.nl/nieuws/2902515/Automobilist-maakt-dollemansrit-door-centrum-Den-Bosch-vrouw-uit-Vlijmen-zwaargewond""},""headline"":""Automobilist maakt dollemansrit door centrum Den Bosch, vrouw uit Vlijmen zwaargewond"",""image"":{""@type"":""ImageObject"",""url"":""https://img-brabant.rgcdn.nl/8be09636ff0a41ed98061ab02bd68e0b/opener/Archieffoto.jpg"",""width"":770,""height"":433},""datePublished"":""2018-12-15T11:59:13.2329501+01:00"",""dateModified"":""2018-12-17T10:21:11.1041542+01:00"",""author"":{""@type"":""Person"",""name"":""Corné Verschuren""},""publisher"":{""@type"":""Organization"",""name"":""Omroep Brabant"",""logo"":{""@type"":""ImageObject"",""url"":""http://www.omroepbrabant.nl/Content/Amp/Images/brabant/logopublisher.png"",""width"":600,""height"":60}},""description"":""Een 23-jarige automobilist uit Den Bosch is vrijdagmiddag aangehouden nadat hij in de Hinthamerstraat in zijn woonplaats een 24-jarige fietser had aangereden. De vrouw uit Vlijmen raakte daarbij zwaargewond aan haar been en is naar het ziekenhuis gebracht. De bestuurder reed na het ongeluk door, maar getuigen noteerden het kenteken. Agenten hielden de Bosschenaar rond half zeven aan op de Merwedelaan.&nbsp; Meerdere fietsers Later bleek dat de verdachte vreemde capriolen had uitgehaald en in de omgeving van de Hinthamerstraat meerdere fietsers bijna had aangereden. De fietsers konden ternauwernood een aanrijding vermijden. Meerdere geschrokken fietsers deden aangifte bij de politie.&nbsp; De man was vermoedelijk onder invloed van drugs. Op het bureau is van hem een speeksel- en bloedtest afgenomen. De monsters worden onderzocht door het NFI. De verdachte zit nog vast. Zijn auto is in beslag genomen voor onderzoek.&nbsp;""} 
								Automobilist maakt dollemansrit door centrum Den Bosch, vrouw uit Vlijmen zwaargewond
							 
						Een 23-jarige automobilist uit Den Bosch is vrijdagmiddag aangehouden nadat hij in de Hinthamerstraat in zijn woonplaats een 24-jarige fietser had aangereden. De vrouw uit Vlijmen raakte daarbij zwaargewond aan haar been en is naar het ziekenhuis gebracht.
					 De bestuurder reed na het ongeluk door, maar getuigen noteerden het kenteken. Agenten hielden de Bosschenaar rond half zeven aan op de Merwedelaan.   Later bleek dat de verdachte vreemde capriolen had uitgehaald en in de omgeving van de Hinthamerstraat meerdere fietsers bijna had aangereden. De fietsers konden ternauwernood een aanrijding vermijden. Meerdere geschrokken fietsers deden aangifte bij de politie.  De man was vermoedelijk onder invloed van drugs. Op het bureau is van hem een speeksel- en bloedtest afgenomen. De monsters worden onderzocht door het NFI. De verdachte zit nog vast. Zijn auto is in beslag genomen voor onderzoek. ",15/12/2018
39,Fietser ernstig gewond bij ongeval in Katwijk - Leidsch Dagblad," AntiAdBlock service down   start: inline style from widgets   load polyfills for IE & older browsers, sadly this needs to be blocking because of video embeds using Promise  Fietser ernstig gewond bij ongeval in Katwijk Een fietser is woensdagmiddag gewond geraakt nadat hij werd geschept door een automobilist op de Hoornselaan in Katwijk. Dat gebeurde ter hoogte van afslag N206.  start rendering normal content  De fietser stak over terwijl de auto voorrang had en werd geschept. Het slachtoffer vloog door de lucht en klapte vervolgens op het voertuig. De jongen werd met spoed naar het ziekenhuis gebracht. Een groot deel van de weg werd vervolgens afgezet in verband met het ongeval. De politie zal onderzoek doen naar de exacte toedracht.  Load Facebook SDK for JavaScript   Your embedded comments code  Meer nieuws uit Duin- en Bollenstreek Keuze van de redactie __widgetgroup start renderer      __widgetgroup end renderer       __widgetgroup start renderer      Lees hier de digitale editie __widgetgroup end renderer       __widgetgroup start renderer      __widgetgroup end renderer       __widgetgroup start renderer      __widgetgroup end renderer       __widgetgroup start renderer      __widgetgroup end renderer       __widgetgroup start renderer      __widgetgroup end renderer        start: inline scripts from widgets   end: inline scripts from widgets ",30/05/2018
40,"Ongeluk met gestolen auto in Oldenzaal, politie op zoek naar de daders - RTV Oost","
								Ongeluk met gestolen auto in Oldenzaal, politie op zoek naar de daders
							 
						In Oldenzaal is afgelopen nacht een eenzijdig ongeluk gebeurd op de kruising van de Eektestraat met de Hinmanweg. De auto bleek gestolen te zijn.
					 Toen de politie arriveerde bij de plek van het ongeluk was er geen enkel spoor van de daders te bekennen. Zij sloegen na het ongeluk op de vlucht. Uit onderzoek van de politie bleek dat de daders de auto hadden gestolen na een insluiping in een woning. Het voertuig liep veel schade op en is afgevoerd door een bergingsbedrijf.  Hoe het ongeluk heeft kunnen gebeuren is niet bekend. De politie is op zoek naar de daders.  Heb je een nieuwstip of nieuwe informatie? Tip de redactie via een WhatsApp-bericht: ",17/3/2019
41,Fietsers gewond na aanrijding met auto op Pannekoekendijk - RTV Focus Zwolle," This site is optimized with the Yoast SEO plugin v10.1.3 - https://yoast.com/wordpress/plugins/seo/  Fietsers gewond na aanrijding met auto op Pannekoekendijk  Minder dan een minuut Zwolle – Een automobilist heeft maandagmiddag twee fietsers aangereden op de Pannekoekendijk. Eén van de fietsers raakte dusdanig gewond dat hij overgebracht moest worden naar het Isala ziekenhuis. Rond half twee botste de automobilist tegen twee fietsers ter hoogte van de oversteekplaats bij de Pathé bioscoop. De ene fietser, een vrouw had een kind achterop haar fiets. Ze kwamen beide kwamen ten val. Na controle en behandeling door ambulancemedewerkers konden zij weer hun weg vervolgen. tekst gaat verder onder de foto De andere fietser, een man, raakte ernstiger gewond. Na behandeling door meerdere ambulanceverpleegkundigen buiten op straat en daarna in het ambulancevoertuig werd hij overgebracht naar het Isala ziekenhuis. Het ongeval veroorzaakte overlast voor het overige verkeer. De Pannenkoekendijk werd door de politie en de ROVA  in één richting afgesloten vanaf de Kamperpoortenbrug tot aan de Katerdijk. De verkeersongevallenanalyse (VOA) van de politie is een onderzoek gestart naar de oorzaak van het ongeval. tekst gaat verder onder de foto’s Plaats op de kaart bij benadering: Landstede en Menso Alting ontvangen Gouden Schoolkantineschaal D66 en PvdA willen snel duidelijkheid over openstelling Nooterhof Vitens lanceert campagne om water te besparen Aanpassing bestemmingsplan woonboten in Zwolle Radio Focus | Luister Live  .theiaStickySidebar /",18/02/2019
42,Dode en vier gewonden bij ongeluk met bestelbus in Tilburg [VIDEO] - Omroep Brabant,"
						In Tilburg is maandagochtend vroeg een persoon overleden bij een ongeval tussen een personenauto en een bestelbus. Vier andere inzittenden zijn gewond naar het ziekenhuis gebracht. Het ongeluk gebeurde op de kruising Burgemeester Letschertweg (N260) en de Midden-Brabantweg (N261). De weg is weer open.
					 Het ongeluk gebeurde rond 6 uur. Wat er precies is gebeurd is nog onduidelijk. Eén inzittende van de personenauto overleefde het ongeluk niet. Er zaten nog drie personen in de auto die met onbekende verwondingen naar het ziekenhuis zijn gebracht.  In de bestelbus raakte één inzittende bekneld, zo liet de politie weten. Hulpdiensten zijn massaal uitgerukt. Het slachtoffer in de bestelbus is bevrijd door de brandweer en ook naar het ziekenhuis gebracht. Er wordt sporenonderzoek gedaan.",26/11/2018
43,Fietser raakt gewond bij verkeersongeval in Rijnsburg - Leidsch Dagblad," AntiAdBlock service down   start: inline style from widgets   load polyfills for IE & older browsers, sadly this needs to be blocking because of video embeds using Promise  Fietser raakt gewond bij verkeersongeval in Rijnsburg Een fietser is dinsdagmiddag gewond geraakt bij een verkeersongeval op de Oegstgeesterweg in Rijnsburg.  start rendering normal content  Het is niet duidelijk hoe het ongeluk heeft kunnen gebeuren. Er waren volgens de politie drie partijen bij het ongeval betrokken: de fietser, een scooterijder en een automobilist. Wie er precies in botsing met wie is gekomen is op dit moment onduidelijk. Het slachtoffer kwam met zijn fiets ten val en raakte daarbij gewond aan zijn hoofd. Het verkeer op de drukke Oegstgeesterweg en de nabijgelegen Brouwerstraat liep vertraging op door het ongeval.  Load Facebook SDK for JavaScript   Your embedded comments code  Meer nieuws uit Duin- en Bollenstreek Keuze van de redactie __widgetgroup start renderer      __widgetgroup end renderer       __widgetgroup start renderer      Lees hier de digitale editie __widgetgroup end renderer       __widgetgroup start renderer      __widgetgroup end renderer       __widgetgroup start renderer      __widgetgroup end renderer       __widgetgroup start renderer      __widgetgroup end renderer       __widgetgroup start renderer      __widgetgroup end renderer        start: inline scripts from widgets   end: inline scripts from widgets ",21/08/2018
44,"Dodelijk slachtoffer botsing Tilburg is 29-jarige Pool, politie zoekt getuigen van het ongeluk - Omroep Brabant","
								Dodelijk slachtoffer botsing Tilburg is 29-jarige Pool, politie zoekt getuigen van het ongeluk
							 
						Het slachtoffer van het dodelijke ongeluk op de Burgemeester Letschertweg in Tilburg maandagochtend is een 29-jarige Pool. Hij zat met drie landgenoten in een auto. Ze belandden op de verkeerde weghelft en botsten frontaal op een bestelbus.
					 De auto werd bestuurd door een 19-jarige Poolse vrouw. Zij en twee andere inzittenden (27 en 28) raakten gewond. Ook de bestuurder van de bestelbus, een 43-jarige Tilburger, moest naar het ziekenhuis. De politie heeft bloed afgenomen van de Poolse bestuurster van de personenauto. Het Nederlands Forensisch Instituut zal onderzoeken of de vrouw mogelijk teveel alcohol had gedronken. Politie zoekt getuigen  Het dodelijke slachtoffer zat op de bijrijdersstoel van de zwarte Seat Leon. De politie is op zoek naar mensen die het ongeluk hebben zien gebeuren. Ook wil ze graag mensen spreken die de zwarte Seat met Nederlands kenteken kort voor het ongeval hebben zien rijden.  Waarschijnlijk kwamen de vier Polen tussen 05.00 uur en 05.45 uur vanuit Waalwijk via Tilburg-Noord op de Burgemeester Letschertweg richting Dongen terecht.",26/11/2018
45,Fietser gewond bij aanrijding met auto in Vlissingen - Omroep Zeeland,"
								Fietser gewond bij aanrijding met auto in Vlissingen
							 
						Bij een aanrijding in Vlissingen is vanmiddag een fietser gewond geraakt. De vrouw werd rond 12.15 uur door een automobilist aangereden op de kruising van de Spuikomweg met de Komstraat.
					 De gewonde vrouw is met een ambulance naar het ziekenhuis vervoerd. De auto en fiets liepen beide lichte schade op, maar de automobilist kon wel zijn weg vervolgen.  Razendsnel toegang tot het laatste Zeeuwse nieuws, het weer, sport en live radio en tv? Download de ",15/2/2019
46,Fietser raakt gewond na aanrijding auto Losser - RTV Oost,"
						Een fietsster is vanmiddag in Losser gewond geraakt na een aanrijding met een auto. De vrouw is met onbekende verwondingen naar het ziekenhuis gebracht.
					 Het gebeurde op de Bernhard Leurinkstraat. Het is nog niet duidelijk hoe het ongeluk heeft kunnen gebeuren. ",2/11/2018
47,Automobilist rijdt door na ongeluk en laat 12-jarig slachtoffertje achter - Omroep Brabant,"
						Een 12-jarig meisje is dinsdagmiddag in Valkenswaard aangereden door een automobilist die hierna is doorgereden. De politie is op zoek naar de bestuurder en roept getuigen op zich te melden. Het meisje raakte hierbij niet gewond.
					 De aanrijding vond rond vier uur plaats op de kruising van de Waalreseweg met de Gasthuisstraat. Het meisje heeft de politie verteld dat het om een felrode auto ging met een rechte achterkant. Het meisje werd na het ongeluk geholpen door een ander meisje van een jaar of 17. Zij heeft zich later bij de politie gemeld. Het is nog niet bekend wie de doorrijder is.",3/10/2018
48,Automobilist jaagt fietser (17) schrik aan bij Geestmerambac... - Noordhollands Dagblad," AntiAdBlock service down   start: inline style from widgets   load polyfills for IE & older browsers, sadly this needs to be blocking because of video embeds using Promise  Davy Hester uit Warmenhuizen terug op de hoek van de Wagenweg en De Vork bij camping Molengroet naast de Provincialeweg N245. Hier werd hij dinsdagavond zomaar bedreigd door een automobilist. De 17-jarige Davy Hester kreeg dinsdagavond de schrik van zijn leven toen hij via het recreatiegebied Geestmerambacht over de parallelweg naast de N245 richting ouderlijk in Warmenhuizen wilde fietsen. Daar werd hij vanuit het niets bedreigd door een tot nu toe onbekende automobilist in een witte Citroën Cactus. De jongen reed even na tien uur in het donker vanaf zijn werk in Alkmaar, waar hij vakkenvuller is bij de Action in De Mare, in noordelijke richting naar zijn woonplaats. Davy vertelt: ,,Toen ik na het ... Toegang tot onze beste artikelen vanaf   Load Facebook SDK for JavaScript   Your embedded comments code  Meer nieuws uit Alkmaar Keuze van de redactie __widgetgroup start renderer      __widgetgroup end renderer       __widgetgroup start renderer      Lees hier de digitale editie __widgetgroup end renderer       __widgetgroup start renderer      __widgetgroup end renderer       __widgetgroup start renderer      __widgetgroup end renderer       __widgetgroup start renderer      __widgetgroup end renderer       __widgetgroup start renderer      __widgetgroup end renderer        start: inline scripts from widgets   end: inline scripts from widgets ",30/01/2019
49,Kaatstraat weer open na politieonderzoek naar ongeval  | NU - Het laatste nieuws het eerst op NU.nl," Advertorial styling   Advertorial styling  
    Hallo! Je browser is verouderd. Daarom werken bepaalde elementen van NU.nl mogelijk niet goed. Upgrade je browser via Instellingen.
     
        Wij zien dat u een adblocker gebruikt waardoor u alleen advertenties ziet die door uw adblocker worden goedgekeurd.
        Dit vinden wij jammer, want NU.nl is mede dankzij onze advertenties gratis toegankelijk. Wilt u een uitzondering maken voor NU.nl,
        of meer lezen over hoe wij met advertenties omgaan?
         Het laatste nieuws het eerst op NU.nl Kaatstraat weer open na politieonderzoek naar ongeval  De Kaatstraat in Utrecht is zondagavond enige tijd afgesloten geweest om onderzoek te kunnen doen naar de oorzaak van een ongeval in september.  Het bewuste ongeluk vond plaats op zaterdag 1 september rond 3.30 uur 's nachts. Een fietser werd   en raakte daarbij ernstig gewond. De automobilist reed na het ongeluk door. De politie doet sindsdien onderzoek naar de toedracht van het ongeluk. Een 23-jarige man zit vast in verband met dit ongeluk. Hij wordt verdacht van het veroorzaken van een ongeval met zwaar lichamelijk letsel tot gevolg, terwijl hij onder invloed was van alcohol. De weg wordt afgesloten zodat agenten de ruimte hebben om een reconstructie te maken van het ongeluk. Gerelateerde artikelen 
                            Heb jij tips of opmerkingen over het regionale nieuws op NU.nl? Mail dan de redactie op:
                                 Je moet ingelogd zijn om van deze mogelijkheid gebruik te maken.  Voeg tekst toe aan je bijdrage.
                          toegevoegd
                             
                                            Sleep hier je bestanden heen  
                                            of  selecteer een foto/video 
                                        Laat los om te beginnen met uploaden
                                     Door te versturen ga je akkoord met ",17/4/2019
